Unnamed: 0,MIR205HG,AL117329.1,AC022031.2,DLX6-AS1,LINC01572,LINC00491,AC093895.1,AC079160.1,AC005537.1,AP005230.1,AC007128.1,POU6F2-AS2,ADAMTS9-AS2,AC016205.1,AC013652.1,AC009262.1,AC020907.1,AC006206.2,LINC02428,G2E3-AS1,TMPO-AS1,MELTF-AS1,AC009264.1,AL031058.1,FOXD3-AS1,AC010275.1,CASC8,AC011374.1,AC009271.1,AC069277.1,MIR2052HG,AC128689.1,AC025575.2,HAGLROS,AC131532.1,KC6,SLC2A1-AS1,TRPM2-AS,ADAMTS9-AS1,AL583808.1,AL513123.1,SOX21-AS1,LINC02253,PVT1,SFTA1P,LINC01807,DARS-AS1,LINC00393,PCAT7,AL355388.1,LINC00355,AC104041.1,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,LINC00392,AC012640.2,AC234772.2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AL354707.1,LINC01876,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,KDM4A-AS1,MIR130B,AC006238.1,HOTTIP,CASC20,AC027031.2,PART1,LINC00470,SATB1-AS1,LINC02315,BCRP3,UCA1,AC010894.3,AC092142.1,LINC02542,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,LINC02041,AP002478.1,AL390719.2,KCNH1-IT1,GDNF-AS1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,TEX41,RBMS3-AS3,ERVMER61-1,AC135178.1,AC100858.3,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,264,122,68,44,271,281,74,186,313,84,284,16,231,48,116,21,114,150,126,108,28,89,125,13,270,141,475,418,82,160,98,108,66,64,16,213,204,27,36,33,5,154,370,114,452,110,41,101,3,145,46,101,0,32,6,6,72,39,739,66,3,7,51,44,2,3,2,251,3,18,0,1,2,66,60,7,223,135,204,0,62,247,125,702,26,55,110,119,64,47,0,2,61,4,11,1,12,3,84,1,19,6,7,25,0,7,0,12,0,1,8,2,239,8,148,39,5,0,111,9,77,5,2,4,1,449,21,23,0,166,9,0,0,0,0,3,0,0,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,6393,3,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,2,4,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,179,257,163,41,203,109,62,37,46,0,53,28,235,212,66,44,50,11,120,96,50,348,65,16,175,21,154,655,86,114,52,0,9,45,207,88,214,39,46,23,692,1,604,99,23,62,10,112,1,4,95,258,0,189,20,1,80,22,602,8,0,8,62,40,0,35,2,29,0,112,7,3,0,0,61,33,7,70,4,2,9,27,51,73,7,46,0,2,21,49,0,1,15,2,205,22,51,0,203,3,12,28,0,28,1,135,0,9,2,2,7,7,0,377,83,6,1,0,43,0,6,1,6,1,5,1,61,34,9,496,14,0,0,1,1,1,0,2,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,0,176,0,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,7,1,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,0,205,839,56,27,156,196,186,107,37,394,9,157,385,58,56,179,31,2,154,37,116,69,24,16,492,95,138,140,4,43,4,80,0,174,39,0,4,31,50,1104,16,554,257,0,85,10,13,0,0,21,21134,0,120,10,0,92,26,294,22,0,12,204,2,29,25,1,34,3,145,6,7,3,1,86,23,3,60,2,2,3,12,68,118,0,93,0,1,41,80,0,1,41,26,0,7,7,1,48,1,4,0,4,75,0,36,0,13,2,4,4,70,0,135,13,7,2,0,21,0,1,0,0,0,4,23,79,65,1,2434,11,0,39,0,0,3,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,0,44,0,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,2,4,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,531,155,1261,62,387,4,132,763,166,55,129,6,557,205,229,823,525,248,71,633,86,181,181,378,103,82,62,809,22,52,2,234,54,101,383,36,358,14,48,6,138,8,1304,16,198,140,4,817,1,311,156,162,3,10,56,2,192,0,423,54,0,3,175,91,51,21,1,10,0,156,12,3,0,56,26,316,75,84,112,2,38,318,62,177,20,2,0,14,1,156,3,47,17,0,156,0,0,3,48,0,0,14,34,22,1,72,465,9,3,12,0,0,3,70,214,8,1010,0,1598,6,0,5,1,25,1,358,6,20,18,498,6,1,0,5,10,5,0,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,1,28,1,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,0,2,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,156,317,381,65,234,154,222,130,244,36,545,6,14,387,11,267,289,110,300,132,132,698,88,61,256,41,115,315,89,190,17,148,162,132,474,77,158,5,40,11,676,2,1240,20,86,102,10,243,1,219,139,399,0,90,17,4,289,40,250,28,0,26,112,163,16,201,2,11,0,106,10,0,1,34,414,500,175,441,342,2,2,45,76,332,122,104,5,10,62,34,0,18,30,304,69,9,2,36,55,1,0,17,4,15,2,43,0,4,1,3,14,17,185,493,764,31,301,3,16,1,25,2,8,1,8,4,84,10,2,569,18,0,0,0,0,0,0,0,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,4,100,0,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,5,0,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,167,126,338,130,104,335,216,294,214,110,256,11,407,282,202,2652,368,99,330,233,81,1133,159,26,277,317,1625,585,37,144,206,278,378,166,302,172,198,9,33,60,635,94,1104,60,55,62,8,354,0,0,281,891,0,83,18,2,327,97,324,22,1,10,210,169,3,226,4,20,0,174,8,5,2,40,131,1567,155,461,439,1,19,10,165,516,13,19,1,3,2,24,0,1,48,62,58,4,9,1,19,3,1,4,334,12,15,45,1,17,4,4,12,2,3,228,114,15,2,0,160,0,30,0,20,3,5,9,14,0,2,98,6,0,128,0,0,7,0,6,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,123,781,0,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,6,21,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,378,257,236,94,329,186,169,282,128,160,465,12,112,242,180,111,402,191,189,405,133,415,396,32,72,282,98,717,213,239,582,406,194,222,434,106,171,5,123,18,988,546,897,121,355,89,1056,134,0,256,604,231,0,54,24,2893,645,60,453,21,0,45,330,208,89,107,3,10,1,100,22,2,12,14,187,67,181,306,241,4,12,833,267,1233,29,301,44,87,4,277,0,59,126,14,170,4,15,8,101,0,2,31,1,44,12,14,19,18,8,4,10,19,50,69,219,32,156,2,73,13,22,1,28,24,6,150,8,29,2,185,29,1,3,1,0,7,0,3,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,5,3701,0,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,5,4,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,91,72,219,31,267,42,41,72,5,29,109,7,188,59,67,134,105,35,184,75,79,66,77,23,37,70,189,59,0,68,211,203,111,51,170,33,197,9,21,16,250,90,540,38,74,80,0,256,0,72,76,351,0,78,5,2,138,23,349,16,1,4,279,53,24,47,0,31,0,100,0,0,3,3,144,989,1,119,1,0,4,20,15,60,17,1,1,193,44,11,0,0,111,4,43,10,26,3,74,1,0,3,3,24,3,23,0,5,1,1,3,0,0,210,34,10,0,0,76,0,9,2,2,6,0,77,4,24,0,150,12,0,1,0,0,11,0,2,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,0,34,0,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,3,1,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,321,169,126,51,159,194,183,11,9,49,23,16,288,74,0,324,105,33,69,298,257,104,48,21,11,288,100,188,6,98,10,185,33,52,180,93,39,7,0,17,20,4,1174,7,0,119,7,183,0,1,30,1192,0,48,46,1,62,186,73,4,0,12,166,32,0,66,5,2,0,233,4,1,8,0,264,35,0,15,45,2,3,2,7,24,16,38,1,8,10,13,2,1,4,99,396,1,1,0,73,3,0,1,10,35,2,378,0,11,3,1,2,1,6,477,45,9,0,0,23,0,16,2,1,11,17,4,0,3,0,1330,16,0,15,0,0,0,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,51,1,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,0,0,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,11,23,29,13,32,53,10,101,43,6,23,9,27,43,12,63,97,21,24,42,32,84,40,27,29,34,73,66,14,33,3,56,53,21,18,10,23,6,13,6,68,27,206,14,27,26,1,79,0,14,33,7,0,9,0,9,100,8,236,69,0,4,3,10,23,12,0,7,0,13,1,0,3,34,52,5,22,49,46,0,1,7,103,139,0,45,0,0,4,12,0,0,83,3,0,0,2,4,14,2,1,3,4,9,0,4,0,0,0,1,2,2,1,27,38,7,1,0,19,0,2,0,2,5,0,28,3,2,0,18,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,70,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
