Unnamed: 0,ANLN,CCNB1,ZWINT,PITX1,CDK1,PBK,PSAT1,TK1,GJB6,RFC4,WDR72,FAM83F,FAM83D,KPNA2,HOXC13,UBE2S,ATAD2,HOXA10,OTX1,IQANK1,PRKCE,DAPL1,AK4,RPL39L,ARNTL2,HECW2,TGFBR2,GBP6,FBXO45,MELTF,CAT,XXYLT1,PTPRZ1,BMP7,NPM3,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,SLC1A1,LIMCH1,PDK1,SOX21,GGH,UTRN,SLC16A1,CYBRD1,TMEM100,EIF4EBP1,SIAH2,BCL11A,TSKU,GPD1L,KCTD1,CITED2,PTPRM,EPHB3,YDJC,EGLN3,RECK,TENM4,PIGX,FAM162A,PAX9,SLC7A11,BDH1,LRRK2,FST,SMO,FRMD6,LAMP3,TPD52L1,LGR4,RGMA,SLC1A4,MGLL,SERPINE2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,CYP2S1,TBX18,ENPP4,STON2,AKAP12,LPCAT1,ULBP2,PC,ZNF703,FGFBP1,WNT7B,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2,NOS2,GSTA1
TCGA-18-3406-01,777,2743,741,1506,2675,693,2072,2945,57871,1178,3436,221,585,5999,55,1069,988,124,33,341,238,1127,2168,1161,1331,274,2446,1854,2149,379,2690,2009,1504,360,1391,2062,2683,2021,115,1946,207,1449,2996,1,3556,765,2451,3850,126,2572,2150,1479,1571,389,755,1497,737,1789,713,21059,446,518,2142,7403,581,146,1455,493,159,317,7036,1398,7496,1529,97,955,1832,988,7,469,420,46,11,371,9,758,797,548,1323,3948,238,413,4436,552,7,12,500,49,19,1,0,60,64
TCGA-18-3407-01,2542,2120,1037,9379,1718,1176,3038,2259,41583,1527,3345,2019,1444,7173,116,1380,1931,174,1395,2987,879,3815,2756,97,4176,557,2880,29704,2620,662,3692,1992,11742,6164,939,6590,3328,4742,233,4035,1407,1695,3938,1058,1785,3301,11492,4728,42,2380,3403,1297,8566,740,4193,1698,1170,7137,655,4483,528,1849,3498,8409,1122,7430,3330,2966,5085,2633,6394,3998,6748,1938,2443,8555,4396,11023,1,388,1418,177,8,7917,622,384,2332,1182,4542,288,7132,4543,3709,4799,1,159,628,9,32,20,8,134,655
TCGA-18-3408-01,2579,1756,1572,130,3478,1235,6385,864,9791,1961,7278,409,3186,5162,251,377,1528,138,410,2912,468,10835,2147,96,7884,334,3295,4374,1054,361,6029,1603,12171,3155,2118,1853,13552,10882,152,1758,132,3140,4734,3247,3338,2098,2799,13275,272,491,8181,1960,3482,838,3784,780,469,5371,365,3032,504,1863,2195,7247,344,10024,1059,2509,3046,2602,5033,5782,3723,4344,410,3427,932,9056,6,2519,700,432,5,5470,760,428,2229,398,2876,873,196,841,7406,715,4,45,28,2,35,16,2,71,16824
TCGA-18-3410-01,4268,5677,5189,1021,7542,2878,2232,14015,369,3151,5829,5448,1187,14553,24,5376,5742,261,166,3271,280,1250,401,1910,12294,1012,1864,218,2346,1414,5029,2308,108,3558,696,4091,4108,2430,118,3199,414,588,4345,241,8970,4182,543,3635,21,2691,2232,1820,5208,746,956,4876,1692,407,1289,1005,182,5734,1818,5146,286,600,1443,567,178,1262,5618,3353,874,1284,90,2317,4849,3487,131,98,341,438,20,3667,9,2746,650,307,1843,810,1257,728,145,746,0,540,1060,23,8,75,2,297,19
TCGA-18-3411-01,6483,8939,2768,4533,7238,3143,6477,8719,7543,5800,8249,116,2530,16530,329,11864,3459,385,821,5810,616,2425,3884,6915,5235,325,2490,3078,3941,1524,5587,4677,11019,6135,3331,12546,9467,11363,70,4999,67,5104,2076,1968,4788,2006,16350,8797,12,4898,4361,1442,15446,1272,6428,1591,394,6325,3395,5389,258,2762,4914,3782,1751,9173,2198,298,4670,3650,10243,737,8411,2485,11496,4896,784,22229,0,5345,1278,362,1,8324,856,323,2802,530,2969,157,3638,6699,6079,11942,201,20,243,3,4,16,1,81,13029
TCGA-18-3412-01,4248,8731,3356,49429,6569,641,13731,20790,21081,6055,6731,7906,4343,19551,119,2319,3916,197,556,6881,1380,6561,1654,5039,9528,492,1659,17647,5058,1684,4072,7669,6444,17264,4514,13023,8534,12264,111,4771,1215,631,3214,1668,3389,3248,3980,4488,121,11811,12885,1433,7882,3752,5322,1091,408,8047,2794,6031,306,1285,5645,4151,8051,7005,8764,339,5794,4478,6495,5592,7668,1343,5966,26568,1063,4551,2,5303,958,98,7,14171,197,1015,1503,496,1524,1036,4122,3360,24795,6154,0,33,123,12,47,11,1,69,40445
TCGA-18-3414-01,5185,3708,3342,3420,6648,2374,8968,7130,2431,2095,9494,2506,3266,11234,305,2914,3917,361,2888,4632,404,5756,1740,2643,3871,950,5638,2556,3081,708,6383,2666,7368,1259,3430,12834,3530,5099,131,5124,863,930,2286,1070,4587,1732,1631,8183,38,4761,3888,10742,4355,1749,4104,3223,960,6531,2618,8260,313,1040,4102,7591,769,424,1657,686,1906,3006,11144,2530,4487,9365,1974,2095,4554,3932,93,3484,951,366,13,6574,580,1007,1599,531,5819,1354,1582,4528,3903,7869,0,72,195,128,16,268,2,125,419
TCGA-18-3415-01,2742,4531,1729,6830,6456,1480,2854,2708,2693,1958,3870,2492,1922,14353,121,2013,1892,207,169,1983,730,5598,2540,2345,11837,238,1602,16996,1771,2098,4230,3843,5079,2893,1276,4689,4201,5024,66,3126,186,715,2778,700,2704,922,2439,2847,41,7128,3764,1265,10194,732,1959,1133,437,4825,1508,14538,406,2216,3740,6954,2404,5185,1596,269,2033,2951,5524,1263,6565,2897,8398,8518,1139,12210,3,2451,297,195,1,10954,412,1248,2949,366,2444,92,3753,1654,2931,3353,78,95,392,16,2,9,17,347,14405
TCGA-18-3416-01,2705,4204,5132,3702,10443,1281,10915,12230,5062,3496,4044,2630,2010,16730,31,1716,4188,169,283,2395,378,559,2544,1757,2125,291,2139,13081,2971,3093,3946,4311,10618,5315,2544,7198,5104,4688,50,2273,226,81,2041,26,1989,3121,4219,1708,7,5534,6550,1240,4035,852,2445,1690,792,3394,1384,2443,184,941,3049,1541,905,10789,4103,367,1857,6039,4187,2236,2493,733,11055,37479,605,2260,139,3402,289,41,0,6876,473,249,2871,97,3174,437,7592,2028,10379,1092,0,241,47,17,0,5,1,50,533
TCGA-18-3417-01,1221,1216,682,17,1571,344,1223,2685,646,917,1091,279,812,4150,34,1279,1211,205,55,837,149,98,607,531,8964,138,1498,606,821,868,1155,1276,3474,1956,1252,1363,1625,2589,35,1765,167,406,717,104,1400,522,1586,2189,83,1944,1525,501,2302,393,247,470,358,436,291,3079,243,370,900,2801,148,236,124,111,417,1477,1849,519,418,699,99,3911,232,758,2,1360,573,73,2,4716,141,424,349,654,1232,295,115,425,27,973,0,2,44,4,24,5,1,16,23
