Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,AC011374.1,AC104211.1,ADAMTS9-AS1,LINC01290,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,MIR497HG,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,LINC00392,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC243960.3,AC093510.2,MIR130B,AC104836.2,AC006238.1,HOTTIP,AC027277.2,AC093599.1,PART1,LINC00470,AC007671.1,LINC00592,BCRP3,UCA1,AC068631.1,AC091806.1,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,HOXB-AS4,LINC00536,C1orf132,AC009974.1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,LINC02126,AC078802.1,AL445471.1,AC092809.2,LINC01361,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,AL162413.1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC02265,LINC01297,LINC00518,LINC00184,LINC00211,PTGES2-AS1,STEAP2-AS1,AC068305.3,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,LINC01297.1,AC006305.1,MIAT,CCDC26,AC105219.2,UMODL1-AS1,HCG21,AL021395.1,AL357518.1,AC126768.3,AC005162.2,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,OVOL1-AS1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,AC010307.2,PLCH1-AS1,POU6F2-AS1,LINC00460,AL157778.1,AC025431.1,LINC00525,AC009403.2,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,AL122019.1,AC078906.1,SRGAP3-AS2,FAM138B,LINC00051,H19,AC006450.3,LINC02254,NAV2-AS2,AP003064.2,LINC01765,AC092811.1,NKX2-1-AS1,LINC01513,LINC01250,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,AC115099.1,AC011899.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AL354861.3,AC011483.1,AC007907.1,LINC02005,AL161636.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,AC007182.1,LINC02208,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,AC113349.1,AL031291.1,LINC02042,CNTN4-AS1,AC009652.1,TLR8-AS1,AL513304.1,AC138761.4,KIAA0087,AC069281.1,LINC01543,AC120193.1,LINC00237,AC092818.1,LINC01258,FAM181A-AS1,AC004870.2,AC135782.1,AC044839.2,FNDC1-IT1,LINC01033,KIRREL3-AS1,LINC01908,AC100791.1,LNX1-AS1,AL133320.1,AL161645.1,AL110505.1,AL353770.4,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,LINC01571,C11orf44,AC083809.1,AL355516.1,AL353747.3,LINC00303,GRM7-AS3,AC079070.1,LINC00488,AC003985.2,AL590491.2,LINC00524,LINC00113,LINC00485,BX005040.1,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,AC113378.1,AC104126.1,AC006262.3,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC090371.1,AC068756.1,C17orf77,AC112518.1,AL139002.1,LINC02445,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,475,20,27,5,33,5,370,114,41,5,3,145,101,0,32,6,6,739,66,3,7,2,3,2,251,9,3,0,0,1,2,6,7,7,223,0,54,0,62,1,5,26,55,110,119,64,47,0,2,4,1,12,20,3,84,2,1,19,6,7,12,25,7,2,10,0,7,0,12,0,1,8,2,96,239,8,39,5,0,0,0,9,77,5,4,2,102,4,1,449,21,23,0,0,166,9,1,8,0,0,0,0,6,0,3,0,0,0,3,28,4,0,1,9,0,0,258,0,0,51,11,0,0,0,20,0,25,0,0,6393,0,7,3,0,6,0,9,0,0,2,3,1,0,0,3,2,0,0,0,1,0,4,0,0,2,5,27,2,4,22,6,5,0,24,1,3,0,1,0,6,0,0,1,0,3,0,0,5,9,2,1,2,0,7,144,5,0,2,0,0,13,0,0,0,2,1,0,2,1,1,0,0,1,0,1,0,0,2,0,3,0,0,4,11,0,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,72,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,154,6,39,5,23,692,604,99,10,2,1,4,258,0,189,20,1,602,8,0,8,0,35,2,29,10,0,7,0,3,0,14,2,33,7,5,4,2,9,5,3,7,46,0,2,21,49,0,1,2,22,51,0,0,203,3,3,12,28,0,5,28,7,3,19,1,135,0,9,2,2,7,7,47,0,377,6,1,0,3,0,0,6,1,13,6,3,1,5,1,61,34,0,9,496,14,14,5,0,0,1,4,23,1,1,0,2,11,0,4,1,2,0,11,0,0,19,0,2,14,6,2,0,0,1,14,1,0,0,176,0,0,0,1,1,0,29,1,4,2,0,0,3,0,1,0,1,0,3,0,1,27,0,4,7,4,17,3,1,44,0,1,0,27,2,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,10,7,2,0,1,0,1,2,0,0,1,4,1,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0
TCGA-18-3408-01,2173,839,27,394,9,95,8,4,4,50,1104,554,257,10,1,0,0,21134,0,120,10,0,294,22,0,12,29,25,1,34,15,3,6,6,7,3,0,10,23,3,2,64,2,3,22,3,0,93,0,1,41,80,0,1,26,7,7,0,1,48,2,1,4,0,4,3,75,10,4,16,0,36,0,13,2,4,4,70,6,0,135,7,2,0,9,0,0,1,0,4,0,2,0,4,23,79,65,0,1,2434,11,0,2,0,39,0,4,4,0,3,0,1,2,3,16,0,0,0,8,0,1,12,0,0,9,0,0,0,0,0,0,12,0,0,44,0,0,0,0,2,8,11,0,0,6,0,6,0,0,2,0,0,0,0,0,2,5,1,3,2,1,0,2,4,7,0,2,3,2,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,7,2,0,1,1,5,0,0,0,0,1,2,1,0,0,0,2,3,2,0,0,1,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,62,6,14,7,6,138,1304,16,4,1,1,311,162,3,10,56,2,423,54,0,3,51,21,1,10,8,0,12,6,3,0,5,31,316,75,2,15,2,38,7,1,20,2,0,14,1,156,3,47,0,0,0,63,3,48,8,0,0,14,34,3,22,29,7,39,1,72,465,9,3,12,0,0,186,3,70,8,1010,0,5,29,6,0,5,3,1,16,25,1,358,6,20,29,18,498,6,3,5,1,0,5,5,0,10,5,0,1,4,0,95,2,2,46,29,1,6,457,125,3,12,429,0,0,42,2,83,4,0,1,28,51,0,1,2,4,1,0,1,2,4,2,7,7,2,2,7,0,3,1,0,4,5,0,3,0,8,235,2,2,2,15,5,2,430,0,41,1,0,1,0,6,0,1,2,1,18,0,0,9,1697,0,55,65,5,0,0,1,5,377,0,1,0,2,0,53,2,0,1,0,2,0,6,1,0,17,10,4,1,0,0,14,0,0,3,0,2,0,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,4,219,0,27,11,0,13,0,5,0,0,0,0,0,49,4,0,0
TCGA-18-3411-01,3580,381,234,545,6,115,2,5,3,11,676,1240,20,10,2,1,219,399,0,90,17,4,250,28,0,26,16,201,2,11,8,0,10,0,0,1,1,49,500,175,2,43,2,2,30,4,122,104,5,10,62,34,0,18,304,9,2,1,36,55,2,1,0,17,4,6,15,13,3,11,2,43,0,4,1,3,14,17,0,185,493,31,301,3,5,0,1,25,2,12,8,27,1,8,4,84,10,0,2,569,18,0,6,0,0,0,3,0,0,0,0,0,0,1,80,1,0,0,4,1,0,26,0,0,10,14,0,0,2,5,5,2,0,4,100,1,1,0,1,1,168,22,0,0,2,0,6,5,1,1,2,1,0,1,0,1,1,0,17,5,10,0,0,0,80,0,2,1,5,3,0,0,0,0,1,1,1,0,2,0,6,0,34,0,5,2,0,3,0,6,3,0,0,16,6,0,0,1,0,0,0,0,0,2,1,5,8,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
TCGA-18-3412-01,3527,338,104,256,11,1625,3,9,10,60,635,1104,60,8,1,0,0,891,0,83,18,2,324,22,1,10,3,226,4,20,12,0,8,0,5,2,1,8,1567,155,3,66,1,19,71,1,13,19,1,3,2,24,0,1,62,4,9,0,1,19,1,3,1,4,334,9,12,4,2,5,15,45,1,17,4,4,12,2,40,3,228,15,2,0,5,0,0,30,0,14,20,57,3,5,9,14,0,0,2,98,6,2,7,0,128,0,1,34,0,7,0,6,0,0,18,0,0,2,13,1,0,2,34,0,13,6,4,1,2,8,0,63,0,123,781,6,1,0,0,6,10,11,4,0,45,1,9,1,0,7,4,0,4,1,2,2,7,0,3,6,3,4,2,21,111,5,1,4,5,1,0,3,1,6,4,2,0,2,1,0,0,0,7,0,1,4,1,8,11,0,0,2,0,8,0,18,6,3,9,100,2,2,11,10,16,2,2,1,0,2,0,0,1,1,0,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0
TCGA-18-3414-01,6025,236,329,465,12,98,0,5,13,18,988,897,121,1056,1,0,256,231,0,54,24,2893,453,21,0,45,89,107,3,10,9,1,22,7,2,12,4,9,67,181,10,70,4,12,18,11,29,301,44,87,4,277,0,59,14,4,15,7,8,101,4,0,2,31,1,10,44,6,4,24,12,14,19,18,8,4,10,19,128,50,69,32,156,2,3,13,13,22,1,18,28,15,24,6,150,8,29,13,2,185,29,6,37,1,3,1,1,26,0,7,0,3,7,1,3,3,0,5,7,1,4,47,14,0,5,4,0,0,2,25,8,23,0,5,3701,0,26,0,4,5,26,2,3,12,2,2052,8,1,0,4,1,2,2,2,0,1,4,0,1,5,25,9,17,4,116,89,1,3,31,1,0,2,4,1,54,9,1,1,1,242,2,1,0,1,3,8,1,0,1,52,14,0,0,2,0,7,1,1,1,17,1,3,3,7,0,1,3,0,0,23,0,0,2,1,1,0,1,2,5,2,0,2,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,75,0,0,2,0,3,0,0,0,1,0,5,5,2,1,0,2
TCGA-18-3415-01,5246,219,267,109,7,189,5,9,2,16,250,540,38,0,4,0,72,351,0,78,5,2,349,16,1,4,24,47,0,31,5,0,0,2,0,3,1,5,989,1,1,6,0,4,5,0,17,1,1,193,44,11,0,0,4,10,26,0,3,74,0,1,0,3,3,9,24,4,1,1,3,23,0,5,1,1,3,0,0,0,210,10,0,0,0,2,0,9,2,0,2,5,6,0,77,4,24,2,0,150,12,1,8,0,1,0,1,3,0,11,0,2,1,0,10,1,0,0,2,0,1,9,0,0,15,2,0,2,2,1,1,17,0,0,34,1,1,0,0,0,6,3,1,0,3,0,1,0,0,3,0,0,2,1,0,0,0,0,1,3,0,24,7,1,48,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,7,0,0,4,0,8,0,3,0,0,10,3,0,1,9,0,0,0,1,1,0,0,0,1,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,100,1,7,29,17,20,1174,7,7,0,0,1,1192,0,48,46,1,73,4,0,12,0,66,5,2,6,0,4,2,1,8,8,17,35,0,0,17,2,3,6,0,16,38,1,8,10,13,2,1,99,1,1,11,0,73,0,3,0,1,10,0,35,18,1,14,2,378,0,11,3,1,2,1,0,6,477,9,0,0,2,0,0,16,2,12,1,5,11,17,4,0,3,0,0,1330,16,3,2,0,15,0,1,1,0,0,0,2,1,0,1,0,0,11,6,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,51,31,0,1,0,0,5,0,3,29,3,0,13,1,1,1,3,0,1,0,0,2,0,0,0,0,2,0,0,0,17,2,2,0,1,0,3,1,0,0,38,1,0,1,2,11,1,0,10,2,27,2,0,4,2,3,1,0,0,2,0,1,7,2,0,0,0,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,73,0,6,2,6,68,206,14,1,1,0,14,7,0,9,0,9,236,69,0,4,23,12,0,7,1,0,1,1,0,3,0,0,5,22,1,7,0,1,1,8,0,45,0,0,4,12,0,0,3,0,2,1,4,14,0,2,1,3,4,8,9,1,5,1,0,4,0,0,0,1,2,2,6,1,27,7,1,0,1,0,0,2,0,0,2,0,5,0,28,3,2,0,0,18,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,132,0,0,3,5,0,0,0,1,0,0,0,0,70,0,0,0,0,0,7,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,3,18,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
