Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,LDB2,ATAD2,SHOX2,HOXA10,SEMA3G,PRKCE,GABRQ,EMCN,IGSF11,HECW2,TGFBR2,CARD14,VIPR1,DMRTA2,LHX2,PREX2,ITGA8,SLC1A1,LIMCH1,FAM189A2,UTRN,NOTCH4,TMEM100,RASL12,TMEM204,TSKU,GPD1L,COX6B2,CITED2,S100A7A,RBBP8NL,PTPRM,FETUB,AC024940.1,RECK,FOXN1,SLC7A11,WFDC1,LRRK2,LMOD1,LY6G6C,SH3BP5,DIO2,TMEM151B,MEGF10,GJA4,ATP10B,COL6A6,MS4A2,GRASP,PAX3,WFDC5,PRRX2,DDAH1,SOD3,KCNQ5,LEFTY2,HORMAD1,SEMA3B,NEGR1,FUT2,PLA2G4F,TBX18,BTNL9,SPRR2F,ENPP4,FZD10,AKAP12,SLC26A9,LPCAT1,PPIL6,ULBP2,XG,GAP43,TOGARAM2,GJA5,WDR78,LRRC46,DNAH10,CEACAM7,CCDC170,SERTM1,TPSAB1,ADAMTSL3,PRDM16,SPATA18,CYS1,WNT10B,VWA3B,WNT6,RSPH4A,LGI3,CFAP43,ZMYND10,CFAP45,DNAH9,PIFO,OMG,RSPH1,SELE,ENKUR,SAXO2,TPSB2,DTHD1,CFTR,AADACL2,TRIM17,DNAAF1,C5orf49,TMEM200C,DNAH12,C9orf24,FAM216B,CCDC17,LRRIQ1,PROK2,WNT10A,ROPN1L,FAM92B,ERICH3,SNTN,CFAP65,GREM2,VWA3A,HOXA9,EPHB1,B3GALT5,SCUBE3,TEKT1,WDR38,DNAH6,LDLRAD1,PCDH8,SPAG6,ELAVL2,CDHR4,DRC1,COL9A1,SCN2A,IL17REL,TPSD1,C20orf85,MS4A8
TCGA-18-3406-01,2743,741,693,5999,55,507,988,395,124,85,238,165,670,273,274,2446,158,126,76,40,115,469,207,1449,56,765,210,126,242,199,1571,389,337,1497,6849,34,737,5,71,446,292,146,34,493,199,71,60,490,3,37,391,1363,138,42,299,7,636,226,420,385,46,11,212,60,88,489,130,9,139,1172,758,175,548,126,1323,233,3948,193,159,16,438,65,22,10,1498,144,7,157,158,12,198,68,25,19,3,65,102,54,28,47,41,187,45,39,500,155,47,122,119,162,14,161,72,43,35,20,83,99,41,137,49,23,17,244,8,63,8,19,3,1,145,34,125,30,18,48,26,2,28,0,2,15,0,849,1,0,70,49
TCGA-18-3407-01,2120,1037,1176,7173,116,753,1931,461,174,278,879,214,307,352,557,2880,960,219,19,60,233,386,1407,1695,33,3301,897,42,332,603,8566,740,57,1698,1671,85,1170,115,12,528,615,7430,170,2966,580,42,152,1857,1,64,540,1778,423,156,327,1,234,48,1418,1169,177,8,443,314,76,2476,481,622,93,3235,384,1691,1182,447,4542,49,288,485,18,70,1078,46,70,32,427,78,1,1566,100,159,171,131,33,22,6,47,523,35,29,36,29,80,41,46,628,60,32,1944,56,404,6,29,52,22,42,20,22,38,88,14,9,134,17,118,38,34,11,32,21,20,281,157,580,25,17,31,14,0,38,8,20,31,2,2,2,131,38,31
TCGA-18-3408-01,1756,1572,1235,5162,251,412,1528,116,138,95,468,75,481,43,334,3295,64,677,9,6,152,279,132,3140,78,2098,186,272,237,117,3482,838,7,780,26,6,469,1191,35,504,190,10024,124,2509,276,140,68,536,10,325,105,198,62,175,38,6,70,15,700,229,432,5,3,41,124,458,739,760,42,17,428,2220,398,166,2876,35,873,16,10,13,360,45,28,21,4,94,4,161,144,45,790,17,10,7,1,32,241,25,14,36,58,126,73,34,28,38,54,97,22,575,55,60,15,22,62,14,24,63,19,6,2,69,12,30,9,130,3,35,8,16,18,923,514,27,2,31,34,0,28,2,3,34,1,144,0,3,35,37
TCGA-18-3410-01,5677,5189,2878,14553,24,347,5742,135,261,168,280,270,311,689,1012,1864,351,53,510,969,118,172,414,588,468,4182,2169,21,513,381,5208,746,4408,4876,14,233,1692,5,13829,182,9495,600,62,567,143,8,314,162,1995,405,354,1104,695,152,1380,131,361,77,341,551,438,20,896,69,38,498,1308,9,791,35,2746,1135,307,340,1843,136,810,1429,296,88,448,498,159,43,4,157,0,787,88,540,687,10,1635,16,2,32,18,362,42,106,26,55,21,97,1060,115,88,1241,77,43,1,96,10,11,415,21,20,29,67,556,23,102,47,85,230,27,19,8,4,75,713,71,155,21,51,4086,9,11,31,2,9,13,93,1961,2547,330,36,19
TCGA-18-3411-01,8939,2768,3143,16530,329,368,3459,579,385,235,616,2419,244,642,325,2490,369,110,353,15,70,149,67,5104,7,2006,269,12,183,683,15446,1272,124,1591,15,67,394,244,612,258,47,9173,179,298,115,6,175,6557,17,135,335,22,13,129,339,0,90,368,1278,457,362,1,1156,261,157,996,247,856,7,12,323,2803,530,38,2969,31,157,618,64,10,123,25,37,61,15,63,201,779,27,20,322,83,27,4,23,32,296,10,26,9,8,25,27,5,243,17,46,998,18,27,31,58,16,6,348,2,47,5,18,12,3,67,12,37,148,25,1,4,4,16,33,118,410,6,7,10,47,0,51,1,4,94,10,35,3,82,13,10
TCGA-18-3412-01,8731,3356,641,19551,119,393,3916,425,197,169,1380,30,439,457,492,1659,707,119,467,150,111,239,1215,631,15,3248,466,121,259,507,7882,3752,14,1091,18,448,408,430,107,306,1273,7005,108,339,296,289,122,982,4,14,277,2259,64,134,279,2,62,532,958,433,98,7,610,101,91,1083,393,197,118,96,1015,3542,496,112,1524,101,1036,887,10,63,387,73,121,34,977,141,0,1579,117,33,169,85,31,39,18,53,1475,74,138,30,92,194,107,79,123,65,84,2155,55,95,1178,25,57,68,22,39,141,188,99,39,12,822,64,76,45,173,26,47,31,11,138,12,180,103,65,32,705,0,74,1,41,49,4,645,3,477,210,113
TCGA-18-3414-01,3708,3342,2374,11234,305,669,3917,309,361,205,404,1197,342,1003,950,5638,728,223,184,14,131,271,863,930,2156,1732,565,38,241,1288,4355,1749,142,3223,192,571,960,13,704,313,400,424,154,686,200,153,215,3866,64,305,414,1051,384,340,330,93,98,1489,951,667,366,13,334,293,919,2597,606,580,63,247,1007,70,531,25,5819,110,1354,855,135,28,576,124,110,30,985,194,0,1841,1062,72,636,163,288,66,34,51,126,54,103,128,62,138,28,80,195,83,107,2701,44,1143,517,475,55,129,30,30,112,68,69,46,128,749,167,50,17,56,18,16,24,268,1070,79,459,61,61,75,136,1,62,2,21,15,8,209,24,387,168,26
TCGA-18-3415-01,4531,1729,1480,14353,121,270,1892,62,207,92,730,156,170,214,238,1602,130,102,141,30,66,127,186,715,29,922,258,41,211,355,10194,732,10,1133,663,231,437,79,61,406,5,5185,73,269,209,42,64,2528,1,39,406,41,154,71,125,3,9,142,297,564,195,1,8,78,54,801,446,412,27,167,1248,626,366,48,2444,94,92,106,4,28,531,51,59,33,4,85,78,573,90,95,164,60,12,27,14,25,62,33,87,47,24,126,48,37,392,56,32,875,45,65,1,52,39,45,26,22,90,72,51,20,16,36,48,65,20,122,14,2,14,9,78,2,68,55,46,29,40,1,76,17,21,67,0,742,1,90,121,84
TCGA-18-3416-01,4204,5132,1281,16730,31,180,4188,20,169,111,378,2,14,6,291,2139,204,20,441,697,50,75,226,81,520,3121,431,7,96,172,4035,852,5,1690,8,77,792,5,67,184,3,10789,20,367,32,0,146,400,2,480,103,13,155,108,158,139,2,37,289,188,41,0,7,33,15,246,3,473,52,13,249,2309,97,4,3174,91,437,905,1,183,125,66,60,41,0,37,0,574,10,241,202,12,51,14,4,46,16,36,15,38,145,9,23,21,47,8,23,453,271,9,1,25,24,0,17,23,11,3,81,16,17,18,10,43,2,7,0,0,7,5,76,1,45,10,13,6,6,0,6,1,4,156,0,1125,6,138,2,0
TCGA-18-3417-01,1216,682,344,4150,34,213,1211,193,205,72,149,3,112,135,138,1498,35,231,69,9,35,125,167,406,57,522,167,83,310,298,2302,393,31,470,3,21,358,0,357,243,123,236,202,111,278,0,34,1511,2,2,123,19,17,33,105,2,22,92,573,301,73,2,1,71,45,52,322,141,41,1,424,91,654,34,1232,49,295,258,36,3,173,48,18,32,5,31,0,399,37,2,290,143,3,4,1,0,5,10,7,47,9,17,3,6,44,22,14,623,6,21,0,51,4,10,218,2,18,0,2,24,4,46,16,13,0,0,0,24,1,5,14,6,447,0,5,35,0,1,1,1,1,1,0,6,1,80,1,3
