Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,AC037459.2,AC010226.1,AC011374.1,AC020891.2,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,AL355304.1,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC083801.2,AC078778.1,LINC00392,AC005740.4,AC013731.1,AL023803.2,MAGI2-AS3,NAALADL2-AS2,AC010491.1,AC009121.1,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,MED4-AS1,AC068831.2,LINC00520,AC093510.2,MIR130B,AC097713.1,AC011005.4,AL358115.1,AC006238.1,AC105137.3,AL356299.2,HOTTIP,AC109454.3,AC017083.1,PART1,AC023034.1,AC107419.1,LINC00470,BCRP3,AP001094.2,UCA1,AC016737.1,AC010731.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,AC036108.4,LINC00163,LINC00461,AL355472.4,AP002478.1,KCNH1-IT1,GDNF-AS1,AC011337.1,AC106795.2,LINC00536,C1orf132,AC018755.4,AL451050.2,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC067930.5,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC004034.1,AL589743.4,AL355472.3,LINC00518,LINC00184,LINC00211,PTGES2-AS1,STEAP2-AS1,AC090912.3,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC005858.1,AC006305.1,MIAT,CCDC26,AP000424.1,HCG21,AL021395.1,FLJ12825,AL109761.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,AC009403.2,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,Z99916.1,SRGAP3-AS2,AL022316.1,FAM138B,LINC00051,AL049830.3,H19,NAV2-AS2,AC005329.1,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AL645608.9,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,18,47,475,9,27,33,5,370,114,41,11,3,145,101,0,32,41,6,6,4,6,4,739,66,0,0,3,7,2,3,2,4,251,3,0,1,2,31,1,2,5,2,45,1,7,6,123,223,0,12,62,6,3,26,55,110,119,64,47,0,0,2,13,4,1,12,27,10,3,84,7,1,1,19,6,7,25,0,0,7,0,12,0,1,8,2,239,8,39,5,0,3,6,4,9,77,5,4,2,5,4,1,449,21,23,19,0,166,9,17,0,0,15,0,0,0,3,0,0,3,28,4,0,1,0,0,258,0,51,11,0,0,0,3,25,5,0,0,3,6393,3,0,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,2,4,5,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,34,18,154,33,39,23,692,604,99,10,20,1,4,258,0,189,40,20,1,2,20,8,602,8,16,11,0,8,0,35,2,21,29,0,7,1,17,49,3,7,21,0,201,9,33,6,19,7,2,7,9,19,74,7,46,0,2,21,49,5,0,1,38,2,22,51,85,95,0,203,0,6,3,12,28,0,28,20,1,135,0,9,2,2,7,7,0,377,6,1,0,29,59,19,0,6,1,13,6,14,1,5,1,61,34,22,9,496,14,2,0,0,10,6,1,1,1,0,2,0,4,1,2,0,0,0,19,2,14,6,2,0,0,2,1,9,0,0,3,176,0,2,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,7,1,0,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,394,9,55,18,95,8,4,50,1104,554,257,10,8,0,0,21134,0,120,47,10,0,5,34,9,294,22,14,2,0,12,29,25,1,12,34,3,6,72,14,14,7,6,2,3,0,7,23,4,12,3,2,6,3,10,115,0,93,0,1,41,80,8,0,1,10,26,7,7,13,43,1,48,12,1,1,4,0,4,75,1,0,36,0,13,2,4,4,70,0,135,7,2,0,7,0,0,0,1,0,4,0,14,0,4,23,79,65,0,1,2434,11,2,0,39,49,1,0,0,3,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,0,8,12,3,0,0,15,44,0,0,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,2,4,0,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,60,64,62,22,14,6,138,1304,16,4,9,1,311,162,3,10,21,56,2,15,21,17,423,54,35,10,0,3,51,21,1,21,10,0,12,47,26,53,3,29,58,0,11,9,316,16,51,75,2,12,38,19,23,20,2,0,14,1,156,7,3,47,24,0,0,0,19,92,3,48,34,5,0,0,14,34,22,2,1,72,465,9,3,12,0,0,3,70,8,1010,0,716,36,10,6,0,5,3,1,6,25,1,358,6,20,54,18,498,6,380,1,0,57,46,5,10,5,0,1,0,95,2,2,46,1,6,457,3,12,429,0,0,42,14,4,49,0,1,9,28,1,1,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,0,2,79,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,545,6,22,19,115,10,5,11,676,1240,20,10,4,1,219,399,0,90,12,17,4,0,10,7,250,28,5,5,0,26,16,201,2,14,11,0,10,143,8,53,0,6,6,1,57,13,500,1,5,175,2,2,2,6,25,122,104,5,10,62,34,160,0,18,17,304,9,2,5,18,36,55,13,6,1,0,17,4,15,6,2,43,0,4,1,3,14,17,185,493,31,301,3,4,16,28,1,25,2,12,8,10,1,8,4,84,10,0,2,569,18,7,0,0,3,4,0,0,0,0,0,1,80,1,0,0,1,0,26,0,10,14,0,0,2,9,2,12,0,4,3,100,0,2,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,5,0,0,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,256,11,13,8,1625,6,9,60,635,1104,60,8,17,0,0,891,0,83,74,18,2,4,10,13,324,22,13,10,1,10,3,226,4,15,20,0,8,91,10,19,5,26,12,2,9,7,1567,9,1,155,1,1,19,35,5,13,19,1,3,2,24,12,0,1,19,62,4,9,24,132,1,19,3,3,3,1,4,334,12,4,15,45,1,17,4,4,12,2,3,228,15,2,0,9,0,4,0,30,0,14,20,6,3,5,9,14,0,27,2,98,6,28,0,128,1,2,0,0,7,0,6,0,18,0,0,2,1,0,2,0,13,6,4,1,2,0,63,10,0,123,4,781,0,5,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,6,21,1,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,465,12,60,14,98,25,5,18,988,897,121,1056,17,0,256,231,0,54,23,24,2893,5,32,37,453,21,69,2,0,45,89,107,3,24,10,1,22,5,31,40,2,23,16,12,62,14,67,20,50,181,4,2,12,20,0,29,301,44,87,4,277,46,0,59,27,14,4,15,27,17,8,101,0,12,0,2,31,1,44,9,12,14,19,18,8,4,10,19,50,69,32,156,2,14,12,11,13,22,1,18,28,5,24,6,150,8,29,0,2,185,29,17,1,3,4,5,1,0,7,0,3,1,3,3,0,5,1,4,47,0,5,4,0,0,2,2,23,53,0,5,5,3701,0,4,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,5,4,0,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,109,7,11,17,189,4,9,16,250,540,38,0,12,0,72,351,0,78,4,5,2,3,18,7,349,16,10,3,1,4,24,47,0,6,31,0,0,6,12,29,0,9,10,3,92,11,989,2,0,1,0,1,4,8,13,17,1,1,193,44,11,14,0,0,12,4,10,26,26,48,3,74,10,2,1,0,3,3,24,6,3,23,0,5,1,1,3,0,0,210,10,0,0,9,11,5,0,9,2,0,2,2,6,0,77,4,24,0,0,150,12,1,0,1,0,1,0,0,11,0,2,0,10,1,0,0,0,1,9,0,15,2,0,2,2,1,17,1,0,0,4,34,0,1,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,3,1,1,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,27,16,100,12,7,17,20,1174,7,7,18,0,1,1192,0,48,63,46,1,12,8,9,73,4,12,53,0,12,0,66,5,18,2,0,4,117,59,52,1,12,11,8,0,16,35,7,0,0,2,8,3,16,43,16,38,1,8,10,13,4,2,1,9,99,1,1,43,93,0,73,22,17,3,0,1,10,35,17,2,378,0,11,3,1,2,1,6,477,9,0,0,26,0,4,0,16,2,12,1,3,11,17,4,0,3,0,0,1330,16,12,0,15,12,30,0,0,0,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,0,16,1,14,0,0,0,51,1,15,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,0,0,0,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,7,3,73,2,6,6,68,206,14,1,4,0,14,7,0,9,0,0,9,0,2,3,236,69,3,0,0,4,23,12,0,3,7,0,1,43,0,35,0,0,0,3,1,0,5,0,0,22,0,2,1,1,6,0,45,0,0,4,12,0,0,0,0,3,0,2,6,9,4,14,6,1,2,1,3,4,9,0,0,4,0,0,0,1,2,2,1,27,7,1,0,1,2,1,0,2,0,0,2,0,5,0,28,3,2,0,0,18,5,10,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,132,0,3,5,0,0,0,0,0,9,0,0,0,70,0,1,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
