Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,AC011374.1,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,AL033397.2,AL033384.1,SFTA1P,AP003119.2,LINC00393,LINC02457,AL355388.1,LINC00355,AC026785.3,SOX2-OT,AC105206.1,LINC01564,AL139385.1,AC083801.2,AC078778.1,LINC00392,PTCSC2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,AL035258.1,HOTAIR,AL354707.1,AC019080.4,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,KDM4A-AS1,MIR130B,AC006238.1,HOTTIP,LINC02012,AL136018.1,LINC00871,PART1,AL391427.1,LINC00470,BCRP3,AC090772.3,UCA1,AC010731.2,LINC02561,AC108002.1,LINC00337,LINC00615,LINC01697,MIR31HG,MIR137HG,AC026336.3,AC005722.2,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,C1orf132,AP003119.1,TM4SF1-AS1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL590666.2,AC124067.2,AL512785.1,MUC2,LINC00173,RNF217-AS1,AL807740.1,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00992,LINC00518,LINC00184,LINC00211,STEAP2-AS1,AC089983.1,LINC01370,WASIR2,AC005722.3,AC097717.1,SAMD12-AS1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,SLC7A11-AS1,LINC00051,H19,AF106564.1,NAV2-AS2,AC004990.1,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AC121764.1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,475,27,33,5,370,3,719,114,8,41,3,3,145,0,101,0,27,32,41,6,6,15,739,66,3,4,7,51,3,2,3,2,251,3,18,0,1,2,7,6,4,7,0,223,0,5,62,3,7,13,26,3,29,55,110,0,0,119,64,47,0,2,4,1,12,3,84,1,8,1,19,6,7,25,39,14,0,0,7,47,0,0,12,0,1,8,2,239,8,39,5,0,169,9,77,5,2,7,0,4,0,1,4,449,21,23,0,166,9,0,0,0,0,3,0,0,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,0,6393,0,3,60,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,2,4,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,4,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,154,39,23,692,604,54,149,99,37,10,124,1,4,2,258,0,74,189,40,20,1,138,602,8,0,68,8,62,6,0,35,2,29,0,112,7,3,0,94,347,59,33,345,7,2,14,9,74,301,16,7,2,138,46,0,1,78,2,21,49,0,1,2,22,51,0,203,38,24,3,12,28,0,28,103,170,2,1,135,363,0,0,9,2,2,7,7,0,377,6,1,0,58,0,6,1,6,5,0,1,24,5,90,1,61,34,9,496,14,0,0,1,1,1,0,2,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,52,0,176,3,0,337,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,7,1,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,3,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,394,9,95,4,50,1104,554,20,553,257,45,10,28,0,0,14,21134,0,354,120,47,10,0,151,294,22,0,149,12,204,105,29,25,1,34,3,145,6,7,3,15,16,170,23,48,3,2,17,3,115,340,79,0,4,614,93,0,5,8,1,41,80,0,1,26,7,7,1,48,56,190,1,4,0,4,75,142,116,42,0,36,296,224,0,13,2,4,4,70,0,135,7,2,0,167,0,1,0,0,15,68,0,5,4,213,23,79,65,1,2434,11,0,39,0,0,3,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,10,0,44,1,0,239,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,2,4,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,7,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,62,14,6,138,1304,16,14,16,24,4,56,1,311,0,162,3,12,10,21,56,2,11,423,54,0,126,3,175,5,51,21,1,10,0,156,12,3,0,36,1,162,316,5,75,2,28,38,23,33,55,20,0,3,2,0,14,100,14,1,156,3,47,0,0,0,3,48,3,3,0,0,14,34,22,24,9,0,1,72,18,0,465,9,3,12,0,0,3,70,8,1010,0,224,6,0,5,1,1,0,25,0,1,76,358,6,20,18,498,6,1,0,5,10,5,0,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,4,1,28,3,1,4,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,0,2,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,0,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,545,6,115,5,11,676,1240,126,313,20,41,10,89,1,219,321,399,0,928,90,12,17,4,52,250,28,0,165,26,112,0,16,201,2,11,0,106,10,0,1,22,735,105,500,67,175,2,74,2,25,631,71,122,3,324,104,5,13,186,10,62,34,0,18,304,9,2,36,55,119,273,1,0,17,4,15,292,503,42,2,43,469,28,0,4,1,3,14,17,185,493,31,301,3,188,1,25,2,8,56,1,1,153,8,221,4,84,10,2,569,18,0,0,0,0,0,0,0,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,628,4,100,55,0,376,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,5,0,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,256,11,1625,9,60,635,1104,99,590,60,58,8,19,0,0,279,891,0,712,83,74,18,2,169,324,22,1,54,10,210,165,3,226,4,20,0,174,8,5,2,36,269,343,1567,32,155,1,27,19,5,44,26,13,189,295,19,1,25,54,3,2,24,0,1,62,4,9,1,19,155,235,3,1,4,334,12,11,659,10,15,45,246,0,1,17,4,4,12,2,3,228,15,2,0,213,0,30,0,20,173,997,3,71,5,220,9,14,0,2,98,6,0,128,0,0,7,0,6,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,38,123,781,0,0,251,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,6,21,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,573,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,465,12,98,5,18,988,897,13,273,121,22,1056,4,0,256,3,231,0,25,54,23,24,2893,47,453,21,0,6,45,330,47,89,107,3,10,1,100,22,2,12,26,16,66,67,5,181,4,6,12,0,17,56,29,7,56,301,44,1,24,87,4,277,0,59,14,4,15,8,101,0,299,0,2,31,1,44,6,33,2,12,14,143,0,19,18,8,4,10,19,50,69,32,156,2,92,13,22,1,28,1,0,24,0,6,59,150,8,29,2,185,29,1,3,1,0,7,0,3,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,4,5,3701,3,0,181,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,5,4,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,2,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,109,7,189,9,16,250,540,67,166,38,34,0,20,0,72,31,351,0,62,78,4,5,2,32,349,16,1,128,4,279,89,24,47,0,31,0,100,0,0,3,13,365,4,989,47,1,0,7,4,13,84,71,17,93,198,1,1,1,39,193,44,11,0,0,4,10,26,3,74,71,37,1,0,3,3,24,126,119,7,3,23,86,8,0,5,1,1,3,0,0,210,10,0,0,29,0,9,2,2,88,5,6,14,0,136,77,4,24,0,150,12,0,1,0,0,11,0,2,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,17,0,34,35,0,148,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,3,1,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,12,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,100,7,17,20,1174,313,250,7,68,7,293,0,1,84,1192,0,409,48,63,46,1,110,73,4,0,85,12,166,471,0,66,5,2,0,233,4,1,8,59,14,0,35,163,0,2,37,3,43,557,83,16,2,11,38,1,8,12,8,10,13,2,1,99,1,1,0,73,37,91,3,0,1,10,35,8,526,0,2,378,218,0,0,11,3,1,2,1,6,477,9,0,0,45,0,16,2,1,708,64,11,38,17,132,4,0,3,0,1330,16,0,15,0,0,0,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,82,0,51,10,1,14,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,0,0,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,73,6,6,68,206,3,34,14,4,1,1,0,14,2,7,0,19,9,0,0,9,3,236,69,0,0,4,3,7,23,12,0,7,0,13,1,0,3,5,0,7,5,0,22,0,1,1,6,10,5,0,0,0,45,0,0,4,0,4,12,0,0,3,0,2,4,14,0,8,2,1,3,4,9,1,18,0,0,4,14,0,0,0,0,1,2,2,1,27,7,1,0,2,0,2,0,2,8,0,5,0,0,10,28,3,2,0,18,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,0,70,0,0,4,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
