Unnamed: 0,TPX2,UBE2C,CDC20,MYBL2,BIRC5,FOXM1,CCNB1,CENPF,MCM4,RRM2,ZWINT,CDK1,PBK,PRAME,PSAT1,TK1,IGSF9,MKI67,RACGAP1,MCM2,ECT2,KPNA2,HOXC13,TIMELESS,ATAD2,HOXA10,EMP2,PRKCE,TNS1,SHMT2,C19orf48,SKP2,MCM7,HECW2,TGFBR2,LMNB1,PAICS,ACTL6A,NCAPD2,FKBP4,PKP3,LMNB2,BOP1,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,H2AFX,SLC1A1,LIMCH1,SELENOI,UTRN,SLC16A1,TMEM100,PTGFRN,TSKU,PLPP2,GPD1L,CITED2,PTPRM,EPHB3,KLF6,RECK,VANGL2,FAM162A,SLC7A11,PROM2,LRRK2,PHGDH,DSC2,NEDD9,SLC1A4,ERO1A,PLOD2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2
TCGA-18-3406-01,1840,763,659,1038,3498,502,2743,637,2206,1653,741,2675,693,1824,2072,2945,286,597,2413,474,3807,5999,55,874,988,124,6928,238,1373,5302,1060,963,1063,274,2446,953,4268,5690,1310,4085,2148,971,630,2062,2683,2021,115,1946,804,207,1449,2592,765,2451,126,3207,1571,1629,389,1497,737,1789,13459,446,1268,7403,146,3762,493,742,28585,1561,955,19513,7292,7,469,420,46,11,9,758,548,1323,3948,7,12,500,49,19,1,0
TCGA-18-3407-01,2915,1273,1536,2301,2859,1154,2120,3254,6006,3631,1037,1718,1176,426,3038,2259,2615,2449,1421,1898,4108,7173,116,1999,1931,174,6536,879,8247,3990,2945,2191,6137,557,2880,2321,9283,5056,3730,3693,6654,4024,2763,6590,3328,4742,233,4035,1893,1407,1695,6220,3301,11492,42,11463,8566,2191,740,1698,1170,7137,6970,528,3220,8409,7430,11655,2966,986,16761,3378,8555,13841,6842,1,388,1418,177,8,622,384,1182,4542,288,1,159,628,9,32,20,8
TCGA-18-3408-01,2351,1205,606,1255,2620,1795,1756,1709,3761,3044,1572,3478,1235,1099,6385,864,566,1955,2202,513,11859,5162,251,1655,1528,138,7835,468,3644,3922,548,1908,3206,334,3295,1059,6344,3666,3977,6595,425,1054,106,1853,13552,10882,152,1758,322,132,3140,6478,2098,2799,272,9740,3482,2790,838,780,469,5371,3261,504,5441,7247,10024,3149,2509,814,6288,5905,3427,10195,2969,6,2519,700,432,5,760,428,398,2876,873,4,45,28,2,35,16,2
TCGA-18-3410-01,25485,3933,5174,5546,9647,5036,5677,3878,15122,5953,5189,7542,2878,1683,2232,14015,5430,6504,8196,7966,7696,14553,24,7535,5742,261,11025,280,2615,6902,7582,3891,19433,1012,1864,3243,10373,7817,13087,2661,2851,18245,2921,4091,4108,2430,118,3199,8757,414,588,3326,4182,543,21,6509,5208,7923,746,4876,1692,407,5489,182,5457,5146,600,6344,567,4891,13108,4467,2317,4033,5470,131,98,341,438,20,9,2746,307,1843,810,0,540,1060,23,8,75,2
TCGA-18-3411-01,7529,3668,5030,5207,15873,3215,8939,3463,9673,9876,2768,7238,3143,5882,6477,8719,1724,4108,4206,3420,7996,16530,329,5096,3459,385,11441,616,4229,8490,9851,4640,13274,325,2490,1704,14385,10747,8148,9671,3953,5251,4510,12546,9467,11363,70,4999,6740,67,5104,16353,2006,16350,12,20588,15446,7372,1272,1591,394,6325,4164,258,4584,3782,9173,427,298,9678,6411,2454,4896,8944,6052,0,5345,1278,362,1,856,323,530,2969,157,201,20,243,3,4,16,1
TCGA-18-3412-01,5861,5599,5803,7695,15431,5159,8731,3407,9386,14708,3356,6569,641,250,13731,20790,2098,3746,5461,2634,11221,19551,119,5684,3916,197,13153,1380,6797,15137,5389,4534,16860,492,1659,4911,23284,17210,11343,10687,8024,4584,3483,13023,8534,12264,111,4771,5704,1215,631,12813,3248,3980,121,3502,7882,5937,3752,1091,408,8047,4901,306,2792,4151,7005,2668,339,9195,20066,2000,26568,9420,5227,2,5303,958,98,7,197,1015,496,1524,1036,0,33,123,12,47,11,1
TCGA-18-3414-01,7416,6229,4041,6318,5926,3518,3708,3699,9025,3461,3342,6648,2374,8923,8968,7130,3988,4179,5501,4376,3717,11234,305,2715,3917,361,16033,404,2064,8098,6422,4884,11349,950,5638,2364,7704,6405,6500,9897,6000,8519,4914,12834,3530,5099,131,5124,4050,863,930,1954,1732,1631,38,16390,4355,5057,1749,3223,960,6531,8345,313,8806,7591,424,10114,686,7234,4155,3332,2095,9515,4343,93,3484,951,366,13,580,1007,531,5819,1354,0,72,195,128,16,268,2
TCGA-18-3415-01,5912,1793,1996,3282,4393,2047,4531,2025,3928,5605,1729,6456,1480,3047,2854,2708,2698,2122,3608,1920,3905,14353,121,1847,1892,207,3922,730,2201,7314,3286,2176,4961,238,1602,1393,4902,6021,3984,5297,5141,4023,1677,4689,4201,5024,66,3126,2395,186,715,7400,922,2439,41,4465,10194,4251,732,1133,437,4825,5691,406,6187,6954,5185,4805,269,919,8269,2571,8518,21949,11199,3,2451,297,195,1,412,1248,366,2444,92,78,95,392,16,2,9,17
TCGA-18-3416-01,2829,2193,3704,4212,7633,4889,4204,4260,10659,10036,5132,10443,1281,1129,10915,12230,6900,7662,3147,1728,7928,16730,31,4573,4188,169,16579,378,1893,10477,2188,2650,12652,291,2139,3612,12265,9387,7035,16509,2680,10179,3032,7198,5104,4688,50,2273,4312,226,81,7272,3121,4219,7,7995,4035,4796,852,1690,792,3394,4426,184,2615,1541,10789,52,367,9248,1402,2556,37479,7191,10981,139,3402,289,41,0,473,249,97,3174,437,0,241,47,17,0,5,1
TCGA-18-3417-01,2190,1693,1636,2553,2841,3188,1216,818,1512,2345,682,1571,344,394,1223,2685,1911,959,1124,1461,2902,4150,34,1114,1211,205,2133,149,2392,5502,1293,908,4399,138,1498,754,2776,3911,6443,13498,1255,1563,1580,1363,1625,2589,35,1765,406,167,406,1802,522,1586,83,5266,2302,1847,393,470,358,436,3565,243,3104,2801,236,2031,111,1280,1827,2117,3911,5929,4006,2,1360,573,73,2,141,424,654,1232,295,0,2,44,4,24,5,1
