,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02163,LINC02156,TFAP2A-AS1,AC011374.1,AP000251.1,AF127577.3,SLC2A1-AS1,ADAMTS9-AS1,AC083973.1,AC027228.2,AL513123.1,SOX21-AS1,PVT1,SFTA1P,AC080037.1,AP003119.2,LINC00393,LINC00887,AL355388.1,LINC01698,LINC00355,AC026785.3,AC012213.4,AC114489.1,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,AP003469.2,AC105219.4,LINC00392,AC138305.1,AC234772.2,AC012213.1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,AP003721.1,AC025244.1,HOTAIR,LSAMP-AS1,C10orf91,AC096759.2,AC003958.2,MED4-AS1,LINC00520,SLC12A9-AS1,AC074194.1,LINC01208,AC093510.2,LINC01063,MIR130B,AC006238.1,HOTTIP,AC083880.1,PART1,AC010789.1,AC092115.3,LINC02323,LINC00470,LINC02321,LINC00592,BCRP3,AC005736.1,UCA1,AC002066.1,AC002116.2,LINC02014,LINC01968,LINC00337,MIR31HG,MIR137HG,AC022075.2,AC120498.4,AC090970.3,AC005722.2,AL163952.1,LINC00462,LINC00472,LINC00163,AL049649.1,LINC00461,LINC01460,AP002478.1,AC093904.4,ATP2A1-AS1,KCNH1-IT1,AC087667.1,GDNF-AS1,LINC00705,AC079467.1,LINC00536,C1orf132,AL353693.1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,LINC02560,AC008011.2,AL033527.5,AC010913.1,LINC00896,AC093904.2,LINC02289,MUC2,LINC00173,U62317.2,AC061975.6,MLIP-IT1,AC012640.1,AC012625.1,LINC01629,AC073352.1,AC025211.1,AC130456.2,AL161785.1,MYO16-AS1,AC023824.4,NOVA1-AS1,WNT5A-AS1,LINC02527,AL139039.3,RBMS3-AS3,CASC11,ERVMER61-1,AC135178.1,AC090192.2,LINC00992,LINC00518,LINC00184,LINC00211,LINC00840,AC243773.2,STEAP2-AS1,AC089983.1,WASIR2,AC103740.2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC009275.1,LINC02387,AC006305.1,LINC01214,MIAT,CCDC26,LINC02454,AC036214.1,AL160408.1,HCG21,AL021395.1,AL357518.1,GS1-24F4.2,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL358394.1,AC100801.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,AC024592.2,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,AC078923.1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,AC138627.1,LINC00443,AC069439.2,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,LINC00973,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,Z98257.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,61,45,12,475,6,31,213,27,47,12,33,5,370,114,57,8,41,165,3,29,145,0,10,7,101,0,32,6,1,7,6,28,39,9,739,66,3,2,47,7,2,3,21,7,2,251,6,7,75,3,22,0,1,2,3,7,0,3,4,223,14,54,0,20,62,4,8,32,8,26,55,110,17,0,8,0,119,64,47,0,113,2,13,4,2,1,1,4,12,31,12,3,84,7,1,19,6,7,25,52,10,24,2,4,2,16,0,7,30,0,12,0,30,0,1,8,8,13,2,44,239,8,7,1,39,9,5,0,0,169,9,77,5,3,0,2,7,4,5,1,449,21,23,51,5,0,37,166,9,2,1,63,0,0,0,31,0,3,0,0,28,116,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,6393,3,3,0,0,9,2,3,1,19,0,0,3,2,0,0,0,4,0,2,1,4,1,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,2,3,2,1,1,0,0,5,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,66,77,21,154,26,17,88,39,21,18,23,692,604,99,3,37,10,99,1,15,4,2,0,14,258,0,189,20,8,19,1,29,22,0,602,8,0,20,7,8,0,35,0,5,2,29,20,23,2,0,15,7,3,0,8,33,0,2,7,7,9,4,2,12,9,2,9,12,7,7,46,0,1,4,16,78,2,21,49,0,0,1,10,2,45,1,22,0,51,4,42,0,203,2,3,12,28,0,28,157,17,6,3,4,14,11,1,135,24,0,9,2,0,1,2,7,5,16,7,30,0,377,1,8,6,5,1,0,7,58,0,6,1,7,2,6,5,1,0,5,1,61,34,50,0,9,0,496,14,0,2,16,0,0,1,11,1,1,0,2,3,0,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,0,176,6,0,1,0,29,2,0,0,0,3,0,1,0,1,0,1,27,0,7,1,1,0,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,0,1,4,1,0,0,0,7,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,394,9,24,86,4,95,8,35,39,4,40,16,50,1104,554,257,16,45,10,8,0,0,0,14,9,34,21134,0,120,10,84,12,0,122,26,17,294,22,0,62,8,12,29,25,0,0,1,34,0,87,260,3,3,6,7,3,1,23,0,76,6,3,7,64,2,15,3,17,6,13,8,0,93,0,1,4,14,8,1,41,80,0,0,1,37,26,0,0,7,0,7,2,6,1,48,33,1,4,0,4,75,27,2,10,0,1,0,17,0,36,10,0,13,2,3,7,4,4,4,13,70,0,0,135,0,28,7,5,2,0,4,167,0,1,0,0,1,0,15,0,3,4,23,79,65,36,0,1,1,2434,11,13,9,1,0,39,0,2,0,3,0,1,2,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,0,44,0,0,0,8,11,6,0,6,0,0,0,2,0,0,0,2,5,1,2,10,4,17,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,0,2,2,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,67,84,42,62,31,33,36,14,41,111,6,138,1304,16,149,24,4,10,1,11,311,0,1,0,162,3,10,56,17,60,2,14,0,0,423,54,0,12,10,3,51,21,11,6,1,10,7,35,12,0,17,12,3,0,9,316,2,9,16,75,17,15,2,23,38,1,18,39,4,20,2,0,4,0,36,100,14,1,156,3,2,47,3,0,2,1,0,23,0,0,1,3,48,1,0,0,14,34,22,9,1,28,2,2,1,4,1,72,33,465,9,3,13,9,12,0,3,17,0,1,3,70,4,4,8,3,1010,0,6,224,6,0,5,4,0,1,1,25,27,1,358,6,20,162,12,18,0,498,6,0,2,12,1,0,5,7,10,5,0,1,0,8,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,1,28,1,1,2,1,0,4,2,7,7,7,2,2,7,0,3,4,5,0,0,11,2,1,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,53,9,1,0,2,0,6,93,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,545,6,81,80,16,115,4,171,77,5,82,89,11,676,1240,20,7,41,10,60,1,1,219,321,4,47,399,0,90,17,77,43,4,46,40,5,250,28,0,31,131,26,16,201,55,3,2,11,58,80,26,0,115,10,0,1,34,500,84,99,41,175,83,43,2,9,2,33,52,128,19,122,104,5,26,4,15,186,10,62,34,0,2,18,148,304,6,14,9,1,2,3,0,36,55,9,1,0,17,4,15,34,15,10,3,27,13,51,2,43,7,0,4,1,20,1,3,14,2,22,17,10,185,493,5,29,31,16,301,3,194,188,1,25,2,6,2,8,56,1,0,8,4,84,10,216,10,2,0,569,18,52,26,5,0,0,0,15,0,0,0,0,2,1,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,4,100,4,0,1,168,22,2,0,6,1,5,1,1,2,1,0,1,1,0,5,4,0,2,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,0,2,0,2,1,5,8,0,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,256,11,106,110,32,1625,127,94,172,9,97,68,60,635,1104,60,169,58,8,23,0,14,0,279,4,81,891,0,83,18,23,46,2,52,97,4,324,22,1,41,147,10,3,226,29,9,4,20,62,200,2,0,55,8,5,2,64,1567,25,147,115,155,180,66,1,11,19,6,74,6,39,13,19,1,31,2,38,54,3,2,24,0,4,1,35,62,60,21,4,4,9,2,2,1,19,21,3,1,4,334,12,35,4,32,6,0,97,14,15,45,9,1,17,4,27,1,4,12,11,12,2,0,3,228,20,34,15,26,2,0,1,213,0,30,0,3,1,20,173,3,0,5,9,14,0,800,10,2,3,98,6,1,20,37,0,128,0,48,0,7,0,6,2,1,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,123,781,3,0,0,10,11,45,1,9,15,1,0,7,4,0,4,2,7,0,6,6,21,0,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,100,1,11,10,16,2,2,5,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,465,12,89,81,34,98,32,78,106,5,135,35,18,988,897,121,128,22,1056,77,0,11,256,3,24,5,231,0,54,24,9,42,2893,89,60,21,453,21,0,9,86,45,89,107,19,1,3,10,47,95,7,1,33,22,2,12,43,67,298,27,36,181,31,70,4,4,12,85,8,85,11,29,301,44,75,15,56,24,87,4,277,0,20,59,7,14,10,9,4,36,15,22,2,8,101,72,0,2,31,1,44,47,9,12,9,12,7,120,12,14,21,19,18,8,13,17,4,10,12,217,19,7,50,69,42,11,32,10,156,2,23,92,13,22,1,7,0,28,1,24,2,6,150,8,29,34,4,2,0,185,29,16,11,24,1,3,1,290,0,7,0,3,25,1,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,5,3701,16,0,4,26,2,2,2052,8,3,1,0,4,1,2,2,1,4,0,5,10,4,2,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,17,0,3,7,0,1,3,1,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,109,7,27,20,27,189,8,37,33,9,40,24,16,250,540,38,36,34,0,58,0,6,72,31,4,41,351,0,78,5,15,21,2,50,23,1,349,16,1,49,28,4,24,47,39,0,0,31,10,29,2,0,56,0,0,3,13,989,3,35,84,1,26,6,0,5,4,6,11,34,2,17,1,1,5,4,20,39,193,44,11,0,0,0,18,4,6,8,10,2,26,4,2,3,74,0,1,0,3,3,24,15,9,12,15,26,3,10,3,23,99,0,5,1,2,77,1,3,3,7,0,5,0,210,23,6,10,2,0,0,49,29,0,9,2,3,0,2,88,6,0,0,77,4,24,28,1,0,1,150,12,7,3,13,0,1,0,17,0,11,0,2,2,0,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,0,34,2,0,0,6,3,3,0,1,1,0,0,3,0,0,2,0,0,0,3,1,1,4,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,3,1,9,0,0,0,1,7,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,19,59,26,100,26,26,93,7,73,85,17,20,1174,7,34,68,7,0,0,13,1,84,0,36,1192,0,48,46,13,43,1,0,186,2,73,4,0,19,18,12,0,66,6,2,5,2,10,62,4,0,14,4,1,8,22,35,132,47,2,0,18,17,2,15,3,0,8,6,5,16,38,1,10,0,4,12,8,10,13,2,0,1,14,99,2,15,1,1,1,2,0,0,73,29,3,0,1,10,35,16,4,8,8,5,0,7,2,378,77,0,11,3,10,2,1,2,0,7,1,0,6,477,0,7,9,8,0,0,0,45,0,16,2,3,1,1,708,11,0,17,4,0,3,8,1,0,0,1330,16,0,2,22,0,15,0,0,0,0,0,2,1,0,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,51,6,1,0,5,0,3,0,13,4,1,1,1,3,0,1,2,0,0,0,3,0,2,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,0,16,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,14,25,6,73,10,39,10,6,19,10,6,68,206,14,1,4,1,11,0,6,14,2,0,7,7,0,9,0,6,14,9,5,8,0,236,69,0,6,11,4,23,12,7,0,0,7,4,7,1,0,4,1,0,3,4,5,0,20,0,22,4,7,0,0,1,4,7,27,3,0,45,0,5,19,11,4,0,4,12,0,59,0,8,3,1,1,0,0,2,6,0,4,14,8,2,1,3,4,9,5,3,5,3,5,0,6,0,4,2,0,0,0,6,73,1,2,0,2,2,0,1,27,12,0,7,2,1,0,24,2,0,2,0,3,0,2,8,5,2,0,28,3,2,6,0,0,0,18,5,0,6,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,70,0,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
