,RAD54L,CCNB1,PKMYT1,TEDC2,UHRF1,ZWINT,PBK,KPNA2,HOXC13,E2F8,HSD17B6,SHCBP1,ATAD2,HOXA10,MTBP,CLEC14A,PRKCE,HIST1H2BH,HSPA12B,HOXD11,HECW2,LIMS2,TGFBR2,BCL6B,F12,CCDC150,CHRNA5,HOXD10,PREX2,SLC1A1,LIMCH1,LY6K,KRT75,CNFN,HOXC10,UTRN,C3orf67,TMEM100,SPTSSB,TYMS,TSKU,GPD1L,HBA2,LGALS7,ARHGAP11B,CITED2,PTPRM,KLK6,IGFL1,FAXDC2,PDK4,DES,DAPK2,RECK,MYEOV,CCNE2,ESPN,SLC7A11,PLEKHN1,LRRK2,DSC1,SPRR2G,SPNS2,DSG1,ANGPT1,PAX3,PCDH17,DDAH1,NPW,KCNQ5,SLC6A11,TREM1,FOLR1,LEFTY2,GNA14,TRPV3,TBX18,ENPP4,AKAP12,SYT5,SMC1B,LPCAT1,ULBP2,LILRA2,SERTM1,PRDM16,CTAG2,GOLGA6L7,WNT16,CTCFL,CPNE7,PDIA2,SYNGR3,SELE,ANKRD18A,PAGE2,C15orf48,AIM2,BBOX1,PROK2,CYP1A2,PRTG,TRHDE,AGMO,GREM2,HOXA9,TMC5,PNMA5,CAPN8,ELAVL2,CLDN16,PNLIPRP3,RSPO4,KCNB2,TRIM58,GLYATL3,HS6ST3,SPIC,DEFA5,FGF4,PNMA6E
TCGA-18-3406-01,82,2743,151,82,162,741,693,5999,55,166,161,428,988,124,180,506,238,40,54,59,274,215,2446,244,195,53,34,421,115,207,1449,114,2361,255,320,765,383,126,328,137,1571,389,714,401,47,1497,737,146,14,324,354,46,229,446,3127,144,337,146,159,493,1437,314,97,4315,382,7,804,420,5,46,144,2638,119,11,63,24,9,758,548,208,92,1323,3948,110,7,12,46,3,4,645,94,2,16,500,41,5,640,2279,87,49,0,10,39,214,19,1,260,2,70,0,413,1110,44,0,7,0,5,0,0,1,0
TCGA-18-3407-01,281,2120,694,193,2169,1037,1176,7173,116,187,185,480,1931,174,351,1023,879,126,225,7,557,549,2880,642,242,108,44,29,233,1407,1695,57,32,2212,4,3301,112,42,8,275,8566,740,30,271,221,1698,1170,117,336,534,306,188,529,528,41,269,480,7430,440,2966,11,725,263,105,214,1,1300,1418,5,177,3,1436,823,8,145,66,622,384,1182,0,6,4542,288,71,1,159,5,2,18,6,62,29,26,628,22,0,354,89,107,9,0,75,0,12,32,20,840,3,622,8,21,10,18,17,7,0,71,0,0,0,0
TCGA-18-3408-01,95,1756,22,34,121,1572,1235,5162,251,130,161,384,1528,138,249,513,468,33,44,13,334,100,3295,236,41,48,21,38,152,132,3140,19,0,30,15,2098,233,272,800,200,3482,838,1,2,66,780,469,209,18,300,244,49,150,504,24,254,20,10024,14,2509,20,12,19,57,554,6,1374,700,0,432,1,567,532,5,94,94,760,428,398,3,9,2876,873,52,4,45,8,0,3,1,9,2,18,28,84,0,351,68,124,2,0,31,5,9,35,16,737,0,376,2,41,4,10,20,6,1,643,0,0,1,0
TCGA-18-3410-01,1265,5677,992,517,2070,5189,2878,14553,24,711,129,684,5742,261,1055,454,280,255,91,94,1012,201,1864,424,208,1901,182,653,118,414,588,698,246,646,26,4182,219,21,8,648,5208,746,14,2,288,4876,1692,1,2,193,429,234,510,182,8165,544,2290,600,81,567,26,5,168,31,202,131,533,341,3,438,19,1040,80,20,53,329,9,2746,307,2,519,1843,810,101,0,540,0,14,2,0,91,65,584,1060,6,0,632,204,95,23,0,13,607,60,8,75,89,1,39,2,156,1,40,1091,5,165,1307,117,0,0,0
TCGA-18-3411-01,319,8939,924,314,741,2768,3143,16530,329,304,272,962,3459,385,439,505,616,175,116,360,325,305,2490,218,413,61,181,730,70,67,5104,1995,26,133,1140,2006,855,12,789,756,15446,1272,55,6,84,1591,394,212,51,321,461,44,68,258,71,318,321,9173,53,298,21,19,141,244,1917,0,574,1278,145,362,101,480,101,1,46,27,856,323,530,581,34,2969,157,125,201,20,66,2,180,2,187,2,51,243,80,5,313,212,22,3,0,15,2,234,4,16,196,3,32,1,91,1,2,5,1,0,5,0,0,0,3
TCGA-18-3412-01,590,8731,2172,648,831,3356,641,19551,119,536,416,1349,3916,197,440,727,1380,84,131,23,492,410,1659,348,896,74,113,24,111,1215,631,154,440,899,481,3248,339,121,999,727,7882,3752,131,825,126,1091,408,846,60,413,177,85,89,306,7577,518,1021,7005,305,339,108,235,1236,1079,1143,2,747,958,182,98,93,879,148,7,81,125,197,1015,496,2,9,1524,1036,104,0,33,0,0,77,0,394,15,36,123,85,1,830,80,14,12,0,6,2,29,47,11,297,2,64,1,676,1,14,2,5,0,2,46,0,0,0
TCGA-18-3414-01,573,3708,1943,405,1790,3342,2374,11234,305,930,99,1236,3917,361,625,821,404,978,163,294,950,484,5638,304,187,174,61,754,131,863,930,759,128,235,345,1732,359,38,1001,260,4355,1749,130,2081,447,3223,960,46,87,456,250,39,436,313,1034,300,1308,424,326,686,21,114,379,203,1343,93,864,951,140,366,483,720,100,13,230,220,580,1007,531,140,372,5819,1354,87,0,72,616,22,56,301,249,197,430,195,152,1029,732,313,355,128,1,25,534,431,16,268,1526,13232,66,2,524,33,26,11,16,0,113,2,1,0,2
TCGA-18-3415-01,214,4531,454,127,487,1729,1480,14353,121,134,212,721,1892,207,314,275,730,27,81,11,238,289,1602,210,269,23,64,27,66,186,715,773,38,203,21,922,173,41,105,172,10194,732,27,11,82,1133,437,266,34,97,96,20,183,406,43,226,187,5185,98,269,12,53,165,22,582,3,493,297,5,195,125,401,80,1,50,249,412,1248,366,17,9,2444,92,46,78,95,1,6,49,2,157,2,49,392,56,0,277,324,34,16,0,20,0,1,2,9,272,0,70,17,12,13,26,8,1,0,14,1,0,0,1
TCGA-18-3416-01,976,4204,2306,672,2038,5132,1281,16730,31,375,286,701,4188,169,710,235,378,92,59,111,291,111,2139,123,346,197,83,57,50,226,81,211,57,124,67,3121,195,7,12,677,4035,852,95,0,379,1690,792,1,1,85,194,1,294,184,452,326,541,10789,106,367,6,5,65,20,315,139,260,289,11,41,6,290,1,0,30,25,473,249,97,2,27,3174,437,111,0,241,0,74,25,1,105,2,159,47,43,1,104,1914,5,17,0,12,1,0,0,5,13,6,2,1,230,0,1,0,1,2,0,1,0,2,8
TCGA-18-3417-01,147,1216,146,53,178,682,344,4150,34,54,134,166,1211,205,149,244,149,18,54,23,138,207,1498,137,82,9,29,198,35,167,406,300,85,43,24,522,280,83,15,91,2302,393,69,24,33,470,358,1,45,101,100,13,152,243,147,50,189,236,38,111,8,2,60,16,173,2,218,573,0,73,108,615,75,2,9,10,141,424,654,203,10,1232,295,49,0,2,1,5,62,0,104,9,44,44,11,0,287,199,87,4,1,7,1,48,24,5,74,0,20,1,125,0,9,15,58,1,0,0,0,0,0
TCGA-18-3419-01,438,4453,1101,494,1218,3187,681,12631,432,564,58,789,5458,120,585,225,607,150,66,12,214,133,1189,87,346,146,97,52,58,591,122,722,10,462,1575,822,367,5,301,358,2228,3233,32,1,134,610,822,0,46,1021,70,4,132,117,963,360,1117,1001,423,412,12,686,357,66,52,15,162,1122,5,4,883,783,0,1,52,21,17,285,161,1093,31,1225,651,78,4,14,0,0,5,1,26,5,168,47,37,0,3516,113,9,43,0,84,1,65,2,9,1557,5,173,49,29,0,129,1,3,0,1,2,0,0,0
