Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02428,AC010595.1,AC011374.1,AC116049.2,AC069277.1,AC106799.2,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC01096,AL354993.2,LINC00393,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC106799.1,AC078778.1,LINC00392,FRMD6-AS1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,AL354993.1,AC090568.2,MED4-AS1,LINC00520,AC093510.2,MIR130B,AL359504.2,AC007785.1,AC006238.1,HOTTIP,LINC02377,PART1,AC107419.1,LINC00470,BCRP3,UCA1,AC090912.1,LINC00337,MIR31HG,MIR137HG,AC010343.3,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,AC024230.1,C1orf132,LINC02438,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC023310.4,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AL355607.2,LINC00518,LINC00184,LINC00211,STEAP2-AS1,AC008083.1,AC022079.1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC108174.1,AC006305.1,MIAT,CCDC26,AL021807.1,AL137785.1,HCG21,AL021395.1,AL357518.1,LINC01979,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,FAM230C,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,AC004704.1,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,LINC01193,AC080129.1,KCNQ5-AS1,LINC01608,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,AC122710.1,AL353746.1,AC091946.1,LINC00469,AC006372.1,RRM1-AS1,LINC01511,AC022762.1,LINC01087,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,AC120193.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AC090774.4,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AC092447.5,AL033381.1,AC012050.1,AC016710.1,GPR1-AS,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,150,76,475,54,82,39,27,33,5,370,114,42,11,41,3,145,101,0,32,13,6,6,4,739,66,3,7,2,3,12,52,2,251,3,0,5,0,1,2,42,7,123,223,0,62,3,26,55,110,38,119,64,47,0,2,4,1,12,3,54,84,24,1,19,6,7,25,7,0,7,0,12,0,1,8,2,239,8,39,5,0,88,9,77,5,2,6,27,4,1,449,21,23,5,0,166,9,3,9,0,0,0,1,0,3,0,0,3,28,17,4,0,1,0,0,258,0,51,0,0,0,25,1,0,0,6393,3,0,0,9,2,3,1,0,0,3,2,0,0,0,0,0,4,0,2,4,22,6,5,0,0,0,1,3,0,2,1,0,0,0,0,5,2,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,3,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,11,49,154,64,86,56,39,23,692,604,99,4,12,10,1,4,258,0,189,9,20,1,62,602,8,0,8,0,35,15,24,2,29,0,7,9,8,3,0,0,33,19,7,2,9,22,7,46,0,76,2,21,49,0,1,2,22,51,0,14,203,3,3,12,28,0,28,93,1,135,0,9,2,2,7,7,0,377,6,1,0,1,0,6,1,6,9,3,1,5,1,61,34,5,9,496,14,25,1,0,0,1,6,1,1,0,2,0,4,40,1,2,0,0,0,19,2,14,2,0,0,1,4,0,0,176,0,1,0,29,2,0,0,3,0,1,0,1,1,0,1,0,27,0,7,1,44,0,1,0,1,3,2,1,3,0,0,1,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,394,9,31,0,95,75,140,6,4,50,1104,554,257,10,14,10,0,0,21134,0,120,4,10,0,37,294,22,0,12,29,25,35,19,1,34,3,6,15,5,7,3,0,23,12,3,2,3,13,0,93,0,7,1,41,80,0,1,26,7,7,1,0,48,0,1,4,0,4,75,27,0,36,0,13,2,4,4,70,0,135,7,2,0,1,0,1,0,0,15,5,0,4,23,79,65,0,1,2434,11,1,1,0,39,0,0,0,3,0,1,3,16,0,0,0,0,0,1,12,0,9,0,0,0,12,19,0,0,44,0,0,8,11,6,0,6,0,0,2,0,0,0,0,2,0,5,1,2,4,7,0,2,0,26,0,2,0,0,1,0,0,1,0,0,1,7,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,248,63,62,69,22,1,14,6,138,1304,16,204,11,4,1,311,162,3,10,1,56,2,64,423,54,0,3,51,21,18,63,1,10,0,12,33,0,3,0,12,316,51,75,2,38,15,20,2,0,73,14,1,156,3,47,0,0,0,3,76,48,67,0,0,14,34,22,564,1,72,465,9,3,12,0,0,3,70,8,1010,0,55,6,0,5,1,6,6,25,1,358,6,20,0,18,498,6,40,18,1,0,5,4,10,5,0,1,0,95,156,2,2,46,1,6,457,3,12,0,0,42,4,60,0,1,28,1,2,1,0,4,2,7,7,2,2,7,0,3,3,4,43,5,0,0,2,2,15,5,1,0,160,0,41,1,2279,0,153,0,2,0,0,1697,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,6,0,0,0,12,0,8,0,0,0,1,7,1,1,0,3,0,1,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,545,6,110,63,115,59,89,4,5,11,676,1240,20,8,28,10,1,219,399,0,90,1,17,4,50,250,28,0,26,16,201,16,2,2,11,0,10,37,5,0,1,24,500,5,175,2,2,83,122,104,5,1,10,62,34,0,18,304,9,2,36,22,55,42,1,0,17,4,15,43,2,43,0,4,1,3,14,17,185,493,31,301,3,0,1,25,2,8,55,11,1,8,4,84,10,0,2,569,18,28,1,0,0,0,5,0,0,0,0,1,80,0,1,0,0,1,0,26,0,10,0,0,2,2,4,0,4,100,0,1,168,22,2,0,6,5,1,1,2,1,8,0,1,1,1,0,5,0,80,0,2,0,3,2,3,0,0,3,0,0,1,2,0,34,5,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,0,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,256,11,99,82,1625,10,37,97,9,60,635,1104,60,18,33,8,0,0,891,0,83,4,18,2,70,324,22,1,10,3,226,12,50,4,20,0,8,16,0,5,2,0,1567,1,155,1,19,66,13,19,1,6,3,2,24,0,1,62,4,9,1,1,19,1,3,1,4,334,12,5,15,45,1,17,4,4,12,2,3,228,15,2,0,4,0,30,0,20,0,20,3,5,9,14,0,0,2,98,6,10,69,0,128,0,2,0,7,0,6,0,18,0,0,0,2,1,0,2,0,13,4,1,2,63,9,0,123,781,0,0,10,11,45,1,9,1,0,7,4,0,2,4,2,0,7,0,6,21,111,5,1,0,0,1,1,0,3,7,1,0,0,1,0,7,1,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,465,12,191,83,98,85,213,24,5,18,988,897,121,26,45,1056,0,256,231,0,54,15,24,2893,67,453,21,0,45,89,107,69,74,3,10,1,22,62,11,2,12,96,67,50,181,4,12,19,29,301,44,324,87,4,277,0,59,14,4,15,8,90,101,24,0,2,31,1,44,4,12,14,19,18,8,4,10,19,50,69,32,156,2,1,13,22,1,28,37,5,24,6,150,8,29,0,2,185,29,135,9,1,3,1,32,0,7,0,3,1,3,3,3,0,5,1,4,47,0,5,0,0,2,23,8,0,5,3701,0,4,26,2,2,2052,8,1,0,4,1,2,0,2,1,0,4,0,5,4,116,89,1,3,37,5,1,0,2,4,4,2,1,1,1,0,3,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,16,0,3,0,0,1,14,0,3,0,0,3,1,0,1,2,0,0,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,109,7,35,13,189,18,0,0,9,16,250,540,38,16,6,0,0,72,351,0,78,0,5,2,62,349,16,1,4,24,47,3,0,0,31,0,0,13,1,0,3,0,989,0,1,0,4,14,17,1,1,3,193,44,11,0,0,4,10,26,3,0,74,0,1,0,3,3,24,1,3,23,0,5,1,1,3,0,0,210,10,0,0,0,0,9,2,2,5,5,6,0,77,4,24,2,0,150,12,2,3,0,1,0,3,0,11,0,2,0,10,0,1,0,0,0,1,9,0,15,0,2,2,17,2,0,0,34,0,0,6,3,3,0,1,0,0,3,0,0,0,2,0,0,0,0,3,1,48,0,0,0,3,16,1,0,0,1,0,2,0,0,0,11,1,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,33,0,100,0,6,15,7,17,20,1174,7,17,9,7,0,1,1192,0,48,4,46,1,38,73,4,0,12,0,66,22,0,5,2,0,4,34,0,1,8,0,35,0,0,2,3,11,16,38,1,1,8,10,13,2,1,99,1,1,0,0,73,1,3,0,1,10,35,13,2,378,0,11,3,1,2,1,6,477,9,0,0,2,0,16,2,1,1,8,11,17,4,0,3,1,0,1330,16,7,1,0,15,0,3,0,0,0,2,0,1,0,0,0,11,1,0,2,0,1,0,0,0,1,0,0,0,51,1,0,5,0,3,0,13,1,1,1,3,0,0,1,2,0,0,0,0,0,17,2,2,0,12,0,0,3,1,1,0,0,0,2,0,10,27,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,21,6,73,5,14,39,6,6,68,206,14,4,2,1,0,14,7,0,9,6,0,9,7,236,69,0,4,23,12,5,5,0,7,0,1,3,0,0,3,0,5,0,22,0,1,0,0,45,0,0,0,4,12,0,0,3,0,2,4,3,14,0,2,1,3,4,9,2,0,4,0,0,0,1,2,2,1,27,7,1,0,0,0,2,0,2,10,4,5,0,28,3,2,0,0,18,5,2,0,0,0,0,29,0,0,0,1,0,1,0,0,0,0,0,0,132,0,3,0,0,0,0,0,0,0,70,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3,8,0,0,0,2,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
