source	target	weight
hsa-mir-31	PRKCE	0.992578566
hsa-mir-182	CITED2	0.886618197
hsa-mir-486-2	SCGB3A2	0.855440497
hsa-mir-486-2	SELENBP1	0.81493026
hsa-mir-31	HOXC13	0.783283114
hsa-mir-486-2	CYP4B1	0.768132329
hsa-mir-486-2	C1orf116	0.756918848
hsa-mir-486-2	IL33	0.718217909
hsa-mir-486-2	SLC39A8	0.705555558
hsa-mir-486-2	CD36	0.700792372
hsa-mir-372	SLC7A11	0.694516897
hsa-mir-486-2	CSF3R	0.693679512
hsa-mir-486-2	STEAP4	0.69259423
hsa-mir-486-2	NRGN	0.684157491
hsa-mir-486-2	SLC22A31	0.678761482
hsa-mir-486-2	MFSD2A	0.677117467
hsa-mir-486-2	AGR3	0.662139893
hsa-mir-486-2	ATP13A4	0.655965984
hsa-mir-486-2	FOLR1	0.636698782
hsa-mir-486-2	CRTAC1	0.632953644
hsa-mir-182	HOXA9	0.618979037
hsa-mir-486-2	C16orf89	0.560414314
hsa-mir-486-2	SCGB3A1	0.491241127
hsa-mir-486-2	CXCL2	0.469140679
hsa-mir-486-1	C16orf89	0.439585656
PLCH1-AS1	hsa-mir-373	0.436173052
hsa-mir-486-2	DLC1	0.419876575
hsa-mir-486-2	SCGB1A1	0.411038548
hsa-mir-486-2	DUOX1	0.40304938
hsa-mir-486-2	FLRT3	0.38492015
hsa-mir-486-2	RND1	0.384827048
hsa-mir-144	HOXA10	0.384257734
hsa-mir-486-2	TPPP3	0.380634904
hsa-mir-486-2	SFTPD	0.37586239
hsa-mir-486-2	LRRK2	0.374784291
hsa-mir-486-2	CACNA2D2	0.369373053
hsa-mir-486-2	SCNN1B	0.367768675
hsa-mir-486-1	CRTAC1	0.367046297
hsa-mir-486-2	AQP4	0.365677029
hsa-mir-486-1	FOLR1	0.363301218
hsa-mir-486-1	ATP13A4	0.344034016
hsa-mir-486-1	AGR3	0.337860107
hsa-mir-373	KPNA2	0.333333343
hsa-mir-144	KPNA2	0.333333343
hsa-mir-372	KPNA2	0.333333343
LINC02544	hsa-mir-486-1	0.332476556
hsa-mir-144	TBX18	0.331627369
hsa-mir-486-1	MFSD2A	0.322882533
hsa-mir-486-1	SLC22A31	0.321238518
hsa-mir-486-1	AQP4	0.317966044
hsa-mir-486-2	RGCC	0.317806125
hsa-mir-486-1	NRGN	0.315842479
AC073352.1	hsa-mir-96	0.3075625
hsa-mir-486-1	STEAP4	0.30740577
hsa-mir-486-1	CSF3R	0.306320518
hsa-mir-373	SLC7A11	0.305483133
hsa-mir-486-1	DUOX1	0.299995065
hsa-mir-486-1	CD36	0.299207658
hsa-mir-486-1	SLC39A8	0.294444472
hsa-mir-486-1	DLC1	0.291851074
LINC00536	hsa-mir-137	0.288226545
hsa-mir-486-1	IL33	0.28178215
hsa-mir-486-2	ROS1	0.279557019
LINC00221	hsa-mir-301b	0.273955375
PLCH1-AS1	hsa-mir-372	0.272726178
hsa-mir-486-2	ADH1B	0.272385329
hsa-mir-486-1	CXCL2	0.256301284
hsa-mir-486-2	MACROD2	0.250055343
LINC02544	hsa-mir-486-2	0.249103099
