,MIR205HG,LANCL1-AS1,DLX6-AS1,LINC00491,AP000866.2,POU6F2-AS2,AC027288.3,ADAMTS9-AS2,LINC00968,AC011374.1,ADAMTS9-AS1,NAGPA-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,AL355388.1,LINC00355,AL358334.2,SOX2-OT,AC105206.1,RBPMS-AS1,AL139385.1,AC078778.1,AL512662.2,LINC00392,AL162511.1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AC008268.1,VIPR1-AS1,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,MIR130B,AC006238.1,HOTTIP,LINC02555,PART1,LINC00470,AL033519.3,BCRP3,UCA1,AL157895.1,LINC01705,AP000357.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC02489,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,AC079467.1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC087612.1,MUC2,LINC00173,AC061975.6,LINC02544,MLIP-IT1,AC012640.1,LINC02471,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC062015.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,LINC01269,HCG21,AL021395.1,AL357518.1,SSTR5-AS1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,LINC01671,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,AL122019.1,SRGAP3-AS2,LINC01612,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,LINC01160,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,AC007207.2,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,3,68,271,6,284,28,16,21,475,27,1,33,5,370,114,41,3,145,13,101,0,5,32,6,2,6,2,739,66,3,7,0,5,2,3,2,251,3,0,1,2,13,7,223,2,0,62,18,27,3,26,55,110,119,64,47,2,0,2,4,1,12,12,3,84,1,19,6,7,25,211,0,7,0,36,12,0,28,1,8,2,239,8,39,5,0,0,9,77,5,2,4,1,449,21,23,0,166,9,32,0,0,0,1,0,3,0,0,82,3,28,4,0,1,0,0,258,0,51,0,0,0,20,25,3,0,0,6393,3,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,148,2,4,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,2,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,18,163,203,18,53,27,28,23,154,39,9,23,692,604,99,10,1,4,2,258,0,58,189,20,2,1,5,602,8,0,8,3,6,0,35,2,29,0,7,3,0,26,33,7,8,2,9,31,33,2,7,46,0,2,21,49,3,0,1,2,22,51,42,0,203,3,12,28,0,28,0,1,135,0,40,9,2,58,2,7,7,0,377,6,1,0,0,0,6,1,6,1,5,1,61,34,9,496,14,43,0,0,1,1,1,1,0,2,22,0,4,1,2,0,0,0,19,2,14,2,0,0,1,1,6,0,0,176,0,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,10,7,1,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,0,33,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,12,839,27,13,394,9,9,29,95,4,7,50,1104,554,257,10,0,0,7,21134,0,92,120,10,2,0,16,294,22,0,12,2,1,29,25,1,34,3,6,7,3,23,23,3,5,2,3,34,10,14,0,93,0,1,41,80,4,0,1,26,7,7,6,1,48,1,4,0,4,75,0,0,36,0,10,13,2,83,4,4,70,0,135,7,2,0,6,0,1,0,0,0,4,23,79,65,1,2434,11,29,0,39,0,0,0,3,0,1,16,3,16,0,0,0,0,1,12,0,9,0,0,0,0,12,4,0,0,44,0,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,3,2,4,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,0,15,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,13,1261,387,41,129,21,6,11,62,14,1,6,138,1304,16,4,1,311,5,162,3,33,10,56,1,2,4,423,54,0,3,4,9,51,21,1,10,0,12,3,0,4,316,75,6,2,38,30,13,6,20,2,0,14,1,156,16,3,47,0,0,0,1,3,48,0,0,14,34,22,0,1,72,465,2,9,3,4,12,0,0,3,70,8,1010,0,0,6,0,5,1,25,1,358,6,20,18,498,6,2,1,0,5,0,10,5,0,1,667,0,95,2,2,46,1,6,457,3,12,0,0,42,2,4,0,0,1,28,1,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,6,0,2,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,53,0,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,10,381,234,4,545,19,6,12,115,5,7,11,676,1240,20,10,1,219,87,399,0,130,90,17,2,4,8,250,28,0,26,0,1,16,201,2,11,0,10,0,1,6,500,175,0,2,2,26,18,1,122,104,5,10,62,34,1,0,18,304,9,2,0,36,55,1,0,17,4,15,164,2,43,0,20,4,1,0,3,14,17,185,493,31,301,3,2,1,25,2,8,1,8,4,84,10,2,569,18,46,0,0,0,1,0,0,0,0,14,1,80,1,0,0,1,0,26,0,10,0,0,2,5,2,1,0,4,100,0,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,63,5,0,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,0,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,11,338,104,28,256,10,11,20,1625,9,4,60,635,1104,60,8,0,0,29,891,0,41,83,18,1,2,4,324,22,1,10,0,3,3,226,4,20,0,8,5,2,3,1567,155,1,1,19,31,26,5,13,19,1,3,2,24,4,0,1,62,4,9,2,1,19,3,1,4,334,12,1,15,45,1,15,17,4,9,4,12,2,3,228,15,2,0,0,0,30,0,20,3,5,9,14,0,2,98,6,240,0,128,0,11,0,7,0,6,10,0,18,0,0,2,1,0,2,0,13,4,1,2,8,63,10,0,123,781,0,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,5,6,21,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,100,1,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,5,236,329,11,465,18,12,30,98,5,3,18,988,897,121,1056,0,256,12,231,0,78,54,24,4,2893,3,453,21,0,45,2,6,89,107,3,10,1,22,2,12,5,67,181,6,4,12,64,15,13,29,301,44,87,4,277,0,0,59,14,4,15,2,8,101,0,2,31,1,44,22,12,14,19,17,18,8,1,4,10,19,50,69,32,156,2,1,13,22,1,28,24,6,150,8,29,2,185,29,112,1,3,1,48,0,7,0,3,78,1,3,3,0,5,1,4,47,0,5,0,0,2,25,23,3,0,5,3701,0,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,87,5,4,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,17,0,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,1,219,267,0,109,10,7,34,189,9,1,16,250,540,38,0,0,72,74,351,0,28,78,5,1,2,0,349,16,1,4,0,1,24,47,0,31,0,0,0,3,1,989,1,0,0,4,25,28,1,17,1,1,193,44,11,0,0,0,4,10,26,2,3,74,1,0,3,3,24,1,3,23,0,16,5,1,5,1,3,0,0,210,10,0,0,4,0,9,2,2,6,0,77,4,24,0,150,12,92,0,1,0,2,0,11,0,2,4,0,10,1,0,0,0,1,9,0,15,0,2,2,1,17,0,0,0,34,0,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,11,3,1,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,3,2,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,24,126,159,4,23,5,16,7,100,7,1,17,20,1174,7,7,0,1,24,1192,0,21,48,46,2,1,2,73,4,0,12,1,1,0,66,5,2,0,4,1,8,5,35,0,0,2,3,8,0,1,16,38,1,8,10,13,0,2,1,99,1,1,0,0,73,3,0,1,10,35,55,2,378,0,3,11,3,0,1,2,1,6,477,9,0,0,0,0,16,2,1,11,17,4,0,3,0,1330,16,4,0,15,0,0,0,0,0,2,25,0,1,0,0,11,1,0,2,0,1,0,0,0,0,1,0,0,0,51,1,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,15,0,0,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,0,29,32,1,23,0,9,7,73,6,0,6,68,206,14,1,0,14,11,7,0,11,9,0,0,9,0,236,69,0,4,0,1,23,12,0,7,0,1,0,3,0,5,22,1,0,1,9,87,0,0,45,0,0,4,12,0,0,0,3,0,2,0,4,14,2,1,3,4,9,0,0,4,0,30,0,0,1,1,2,2,1,27,7,1,0,2,0,2,0,2,5,0,28,3,2,0,18,5,3,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,132,0,3,0,0,0,1,0,0,0,0,70,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
