,CCNB1,ZWINT,PBK,KPNA2,HOXC13,RGCC,CDH5,ATAD2,HOXA10,PRKCE,DLC1,CLIC5,SLC39A8,AGER,ADGRF5,HECW2,TGFBR2,CACNA2D2,SUSD2,PREX2,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CLDN18,TSKU,GPD1L,SELENBP1,CITED2,PTPRM,RECK,C1orf116,RHOBTB2,ADH1B,SLC7A11,LRRK2,CXCL2,LAMP3,FOSB,CYP4B1,MFSD2A,PAX3,CD36,DDAH1,TPPP3,KCNQ5,HOPX,FOLR1,LEFTY2,RND1,NRGN,STEAP4,C16orf89,TBX18,ENPP4,AQP4,DUOX1,AKAP12,SFTPD,LPCAT1,C7,ULBP2,CSF3R,ALPL,NAPSA,CRTAC1,PIGR,MACROD2,ATP13A4,SERTM1,PRDM16,FLRT3,AGR3,SELE,SCGB1A1,C4BPA,SCGB3A1,SCNN1B,ROS1,PROK2,IL33,SLC22A31,DMBT1,GREM2,HOXA9,ELAVL2,SCGB3A2
TCGA-18-3406-01,2743,741,693,5999,55,2731,622,988,124,238,955,205,1915,405,967,274,2446,57,147,115,207,1449,1700,765,126,116,1571,389,260,1497,737,446,758,148,844,146,493,1556,1398,7217,219,291,7,2825,420,691,46,4096,119,11,656,113,1192,123,9,758,886,473,548,427,1323,2520,3948,520,432,524,390,770,414,440,7,12,306,391,500,220,1014,270,910,276,49,1315,48,91,19,1,0,1806
TCGA-18-3407-01,2120,1037,1176,7173,116,1220,1811,1931,174,879,2006,274,3070,691,3424,557,2880,621,874,233,1407,1695,991,3301,42,274,8566,740,1387,1698,1170,528,1554,1209,217,7430,2966,1641,3998,1643,695,2319,1,838,1418,643,177,6593,823,8,3315,395,2444,1270,622,384,2879,3143,1182,1793,4542,4222,288,1417,3783,6842,1294,8324,725,2992,1,159,1050,697,628,221,5396,1029,913,3014,9,1172,395,9596,32,20,8,6459
TCGA-18-3408-01,1756,1572,1235,5162,251,1378,968,1528,138,468,633,266,2093,140,1935,334,3295,151,242,152,132,3140,227,2098,272,130,3482,838,982,780,469,504,1624,399,1174,10024,2509,281,5782,181,300,202,6,1719,700,382,432,4009,532,5,181,80,1380,628,760,428,2127,1113,398,1265,2876,1047,873,319,1023,4490,212,2658,188,595,4,45,1484,1486,28,356,865,1,666,1466,2,1801,17,750,35,16,2,12181
TCGA-18-3410-01,5677,5189,2878,14553,24,695,673,5742,261,280,1921,243,2095,269,3037,1012,1864,105,2084,118,414,588,915,4182,21,6424,5208,746,569,4876,1692,182,162,939,49,600,567,426,3353,445,535,632,131,672,341,515,438,791,80,20,564,127,215,87,9,2746,209,1893,307,473,1843,686,810,762,1829,479,1413,506,423,75,0,540,241,69,1060,36,471,141,204,213,23,390,39,133,8,75,2,683
TCGA-18-3411-01,8939,2768,3143,16530,329,2621,671,3459,385,616,443,72,1872,58,833,325,2490,51,187,70,67,5104,1071,2006,12,17,15446,1272,414,1591,394,258,804,264,47,9173,298,127,737,1680,11,1686,0,558,1278,1422,362,1976,101,1,112,92,297,50,856,323,76,886,530,171,2969,244,157,403,702,74,54,3441,129,25,201,20,682,75,243,42,108,4218,509,197,3,106,17,1281,4,16,1,49
TCGA-18-3412-01,8731,3356,641,19551,119,2597,1033,3916,197,1380,588,134,866,193,1043,492,1659,98,190,111,1215,631,2209,3248,121,98,7882,3752,1104,1091,408,306,2945,245,267,7005,339,381,5592,3128,741,2052,2,538,958,509,98,16676,148,7,391,258,519,218,197,1015,608,1376,496,321,1524,536,1036,617,530,936,116,1375,142,4003,0,33,238,239,123,294,420,70,8611,252,12,726,69,373,47,11,1,1178
TCGA-18-3414-01,3708,3342,2374,11234,305,1830,1120,3917,361,404,568,181,2180,366,933,950,5638,176,415,131,863,930,2667,1732,38,95,4355,1749,3161,3223,960,313,4901,858,106,424,686,460,2530,4668,1020,666,93,2603,951,657,366,1842,100,13,263,258,3438,84,580,1007,271,4136,531,352,5819,675,1354,2867,5405,394,114,438,343,2339,0,72,2795,557,195,101,278,136,2120,114,128,1472,58,172,16,268,2,290
TCGA-18-3415-01,4531,1729,1480,14353,121,645,701,1892,207,730,647,84,1240,45,840,238,1602,50,116,66,186,715,900,922,41,44,10194,732,231,1133,437,406,814,210,16,5185,269,358,1263,1261,29,531,3,559,297,490,195,1626,80,1,139,90,230,125,412,1248,120,1773,366,171,2444,211,92,408,700,354,44,1722,19,47,78,95,350,189,392,242,122,692,660,209,16,240,42,221,2,9,17,986
TCGA-18-3416-01,4204,5132,1281,16730,31,649,499,4188,169,378,279,265,1021,179,566,291,2139,63,22,50,226,81,476,3121,7,10,4035,852,52,1690,792,184,392,288,13,10789,367,152,2236,304,1,2223,139,344,289,83,41,532,1,0,54,48,244,2,473,249,1,401,97,5,3174,36,437,1162,257,24,6,29,11,37,0,241,45,0,47,2,2,4,576,0,17,196,8,0,0,5,1,10
TCGA-18-3417-01,1216,682,344,4150,34,424,546,1211,205,149,639,19,530,15,561,138,1498,26,110,35,167,406,608,522,83,32,2302,393,409,470,358,243,91,276,11,236,111,297,519,257,41,187,2,130,573,189,73,923,75,2,121,89,36,116,141,424,76,463,654,197,1232,609,295,135,507,521,112,404,91,20,0,2,227,75,44,4,259,5,173,183,4,338,15,365,24,5,1,666
TCGA-18-3419-01,4453,3187,681,12631,432,463,453,5458,120,607,258,117,1747,141,487,214,1189,578,647,58,591,122,918,822,5,5,2228,3233,1289,610,822,117,1279,261,154,1001,412,126,2668,258,133,607,15,273,1122,352,4,376,0,1,187,93,3921,7,17,285,4,118,161,77,1225,912,651,1313,1486,57,5,159,28,854,4,14,74,0,47,0,2,6,510,54,43,2153,3,56,2,9,49,1
TCGA-18-3421-01,4052,2391,2244,9185,64,975,709,3695,140,260,284,165,2076,210,1281,169,1433,72,350,68,232,414,1174,719,155,67,1851,3957,2702,929,308,129,724,300,415,826,1156,434,5620,139,146,449,2,395,489,610,152,3618,521,2,882,588,808,763,214,609,1557,853,319,1031,3486,1021,587,584,7731,3227,389,7808,105,1358,4,78,764,2267,55,1432,929,1426,3292,557,38,6796,267,2223,9,9,1,24768
TCGA-18-4086-01,5295,3594,2373,13219,78,913,881,3984,121,630,759,135,1543,176,978,426,3133,82,201,132,147,2672,1120,4468,37,35,9581,1048,296,1594,796,536,1334,492,387,12150,465,177,2740,474,53,2439,1,534,794,5946,285,5933,50,10,93,129,489,93,835,257,91,2495,866,236,3587,1181,280,650,606,343,92,451,51,807,20,251,379,36,434,141,155,396,693,176,15,649,34,264,14,12,1,274
