gene	type
LINC02544	lncRNAup
NRGN	mRNAdown
hsa-mir-373	miRNAup
hsa-mir-31	miRNAup
CRTAC1	mRNAdown
CYP4B1	mRNAdown
HOXC13	mRNAup
RND1	mRNAdown
CD36	mRNAdown
PRKCE	mRNAdown
ROS1	mRNAdown
CACNA2D2	mRNAdown
CITED2	mRNAdown
SCGB1A1	mRNAdown
AGR3	mRNAdown
SCGB3A2	mRNAdown
hsa-mir-486-1	miRNAdown
FLRT3	mRNAdown
ADH1B	mRNAdown
MACROD2	mRNAdown
TPPP3	mRNAdown
hsa-mir-486-2	miRNAdown
hsa-mir-372	miRNAup
hsa-mir-96	miRNAup
C1orf116	mRNAdown
STEAP4	mRNAdown
AC073352.1	lncRNAup
TBX18	mRNAup
C16orf89	mRNAdown
FOLR1	mRNAdown
SCNN1B	mRNAdown
hsa-mir-137	miRNAup
SFTPD	mRNAdown
DUOX1	mRNAdown
LRRK2	mRNAdown
PLCH1-AS1	lncRNAdown
KPNA2	mRNAup
RGCC	mRNAdown
CXCL2	mRNAdown
SCGB3A1	mRNAdown
SLC7A11	mRNAup
CSF3R	mRNAdown
SLC22A31	mRNAdown
ATP13A4	mRNAdown
hsa-mir-301b	miRNAup
HOXA10	mRNAup
LINC00221	lncRNAup
HOXA9	mRNAup
MFSD2A	mRNAdown
LINC00536	lncRNAup
DLC1	mRNAdown
IL33	mRNAdown
SELENBP1	mRNAdown
hsa-mir-144	miRNAdown
hsa-mir-182	miRNAup
SLC39A8	mRNAdown
AQP4	mRNAdown
