Unnamed: 0,MIR205HG,DLX6-AS1,LINC01572,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02156,CASC8,AC011374.1,ADAMTS9-AS1,AL513123.1,SOX21-AS1,LINC02253,PVT1,SFTA1P,LINC00393,LINC00887,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,LINC00392,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,MIR130B,LINC01836,AC006238.1,HOTTIP,PART1,LINC02323,LINC00470,BCRP3,UCA1,AC005863.1,LINC01705,LINC02178,LINC00337,MIR31HG,MIR137HG,AL391361.3,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,AC093904.4,KCNH1-IT1,LINP1,GDNF-AS1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,LINC02289,AL590666.2,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,LINC00707,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC090192.2,LINC02081,AL121772.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC009275.1,AC006305.1,MIAT,CCDC26,AL021807.1,LINC01269,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,FLJ16779,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,AC004704.1,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AL354766.2,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,44,271,284,16,45,141,475,27,33,5,154,370,114,41,165,3,145,101,0,32,6,6,739,66,3,7,2,3,2,251,3,0,8,1,2,7,4,223,0,62,1,27,94,26,55,110,8,119,64,47,0,2,4,2,1,19,12,3,84,1,19,6,7,25,16,39,0,7,0,12,0,1,8,2,32,239,8,39,5,0,0,104,18,9,77,5,2,4,1,449,21,23,51,0,166,9,3,32,0,0,0,0,3,0,0,10,3,28,4,0,1,0,0,258,0,51,0,0,0,25,1,0,0,6393,3,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,2,4,22,6,5,1,3,0,193,1,0,0,0,5,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,41,203,53,28,77,21,154,39,23,692,1,604,99,10,99,1,4,258,0,189,20,1,602,8,0,8,0,35,2,29,0,7,17,3,0,33,7,7,2,9,4,33,2,7,46,0,2,2,21,49,0,1,2,45,22,25,51,0,203,3,12,28,0,28,11,103,1,135,0,9,2,2,7,7,10,0,377,6,1,0,7,36,15,0,6,1,6,1,5,1,61,34,50,9,496,14,25,43,0,0,1,1,1,0,2,54,0,4,1,2,0,0,0,19,2,14,2,0,0,1,4,0,0,176,0,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,7,1,44,0,1,2,1,3,5,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,56,27,394,9,86,492,95,4,50,1104,16,554,257,10,8,0,0,21134,0,120,10,0,294,22,0,12,29,25,1,34,3,6,11,7,3,23,6,3,2,3,16,10,0,0,93,0,0,1,41,80,0,1,26,0,7,79,7,1,48,1,4,0,4,75,17,142,0,36,0,13,2,4,4,70,30,0,135,7,2,0,4,3,21,0,1,0,0,0,4,23,79,65,36,1,2434,11,1,29,0,39,0,0,3,0,1,2,3,16,0,0,0,0,1,12,0,9,0,0,0,12,19,0,0,44,0,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,2,4,7,0,2,2,0,0,4,0,1,0,0,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,62,387,129,6,84,82,62,14,6,138,8,1304,16,4,10,1,311,162,3,10,56,2,423,54,0,3,51,21,1,10,0,12,2,3,0,316,16,75,2,38,8,13,0,20,2,0,17,14,1,156,3,47,0,2,0,7,0,3,48,0,0,14,34,22,4,24,1,72,465,9,3,12,0,0,4,3,70,8,1010,0,6,102,3,6,0,5,1,25,1,358,6,20,162,18,498,6,40,2,1,0,5,10,5,0,1,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,60,0,1,28,1,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,0,2,2,15,5,0,41,1,321,0,0,2,0,0,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,65,234,545,6,80,41,115,5,11,676,2,1240,20,10,60,1,219,399,0,90,17,4,250,28,0,26,16,201,2,11,0,10,86,0,1,500,41,175,2,2,0,18,1,122,104,5,1,10,62,34,0,18,304,6,9,17,2,36,55,1,0,17,4,15,51,292,2,43,0,4,1,3,14,17,16,185,493,31,301,3,194,187,77,1,25,2,8,1,8,4,84,10,216,2,569,18,28,46,0,0,0,0,0,0,0,2,1,80,1,0,0,1,0,26,0,10,0,0,2,2,4,0,4,100,0,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,5,0,80,0,2,3,0,0,8,0,1,2,0,34,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,130,104,256,11,110,317,1625,9,60,635,94,1104,60,8,23,0,0,891,0,83,18,2,324,22,1,10,3,226,4,20,0,8,17,5,2,1567,115,155,1,19,9,26,22,13,19,1,11,3,2,24,0,1,62,60,4,24,9,1,19,3,1,4,334,12,14,11,15,45,1,17,4,4,12,2,9,3,228,15,2,0,1,87,14,0,30,0,20,3,5,9,14,0,800,2,98,6,10,240,0,128,0,0,7,0,6,16,0,18,0,0,2,1,0,2,0,13,4,1,2,63,9,0,123,781,0,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,6,21,111,5,1,1,0,3,13,1,0,1,0,7,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,94,329,465,12,81,282,98,5,18,988,546,897,121,1056,77,0,256,231,0,54,24,2893,453,21,0,45,89,107,3,10,1,22,174,2,12,67,36,181,4,12,30,15,92,29,301,44,6,87,4,277,0,59,14,10,4,16,15,8,101,0,2,31,1,44,120,6,12,14,19,18,8,4,10,19,7,50,69,32,156,2,23,41,38,13,22,1,28,24,6,150,8,29,34,2,185,29,135,112,1,3,1,0,7,0,3,1,1,3,3,0,5,1,4,47,0,5,0,0,2,23,8,0,5,3701,0,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,5,4,116,89,1,1,0,2,339,4,1,1,1,0,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,31,267,109,7,20,70,189,9,16,250,90,540,38,0,58,0,72,351,0,78,5,2,349,16,1,4,24,47,0,31,0,0,4,0,3,989,84,1,0,4,2,28,0,17,1,1,0,193,44,11,0,0,4,6,10,74,26,3,74,1,0,3,3,24,10,126,3,23,0,5,1,1,3,0,0,0,210,10,0,0,49,51,10,0,9,2,2,6,0,77,4,24,28,0,150,12,2,92,0,1,0,0,11,0,2,8,0,10,1,0,0,0,1,9,0,15,0,2,2,17,2,0,0,34,0,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,3,1,48,0,0,1,0,0,6,0,0,0,0,11,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,51,159,23,16,59,288,100,7,17,20,4,1174,7,7,0,0,1,1192,0,48,46,1,73,4,0,12,0,66,5,2,0,4,3,1,8,35,2,0,2,3,1,0,0,16,38,1,0,8,10,13,2,1,99,2,1,20,1,0,73,3,0,1,10,35,7,8,2,378,0,11,3,1,2,1,16,6,477,9,0,0,0,81,15,0,16,2,1,11,17,4,0,3,8,0,1330,16,7,4,0,15,0,0,0,0,2,0,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,0,51,1,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,0,0,17,2,2,0,3,1,0,0,0,2,0,10,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,13,32,23,9,25,34,73,6,6,68,27,206,14,1,11,0,14,7,0,9,0,9,236,69,0,4,23,12,0,7,0,1,8,0,3,5,0,22,0,1,0,87,0,0,45,0,0,0,4,12,0,0,3,1,0,11,2,4,14,2,1,3,4,9,6,1,0,4,0,0,0,1,2,2,0,1,27,7,1,0,24,102,4,0,2,0,2,5,0,28,3,2,6,0,18,5,2,3,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,0,70,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
TCGA-18-3419-01,2716,70,46,340,38,8,17,48,561,3,14,4,335,407,10,98,21,0,212,55,0,129,11,4,84,1,1,30,18,75,0,10,2,21,5,2,0,552,14,244,1,5,1,4,2,171,0,5,14,107,3,2,0,3,1,32,0,3,0,0,35,0,0,12,32,15,35,18,21,11,258,1,2,7,8,0,9,16,145,2,5,0,20,179,24,1,0,1,8,18,2,1323,1,2,125,0,296,9,17,37,0,13,0,0,6,0,7,2,1,96,0,0,10,1,0,1,0,13,0,1,0,1,310,0,0,2726,0,0,0,0,0,3,0,3,0,6,10,0,0,0,2,0,0,1,10,1,1,15,68,2,24,13,0,0,0,0,0,6,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
