Unnamed: 0,CCNB1,ZWINT,PBK,GJB3,CBLC,KPNA2,HOXC13,ATAD2,HOXA10,IQANK1,RHOV,PRKCE,ALDH3B2,LMO7,AKR1B15,ARNTL2,HECW2,FAM83A,TGFBR2,GPT2,PYCR1,SLC9A3R2,RBMS2,BOP1,MYRF,RPS6KA2,PREX2,PPP1R14B,H2AFX,GSDMC,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CD55,TSKU,GPD1L,CITED2,PTPRM,KLK6,ALDH3B1,RECK,MYEOV,CASP14,RHOBTB2,ATP11A,SLC7A11,SYT12,LRRK2,TSPAN4,NCCRP1,DDX11,TMEM125,EEF1A2,C1QTNF6,PLEK2,FBXO32,ARHGAP29,NTN4,CYP24A1,STEAP1,PAX3,C2,DDAH1,KCNQ5,HIST1H2BD,TREM1,FOLR1,LEFTY2,RND1,STEAP4,SEMA3B,MDFI,TBX18,ENPP4,AKAP12,OLFM4,INHA,B3GNT3,LPCAT1,NR4A2,ULBP2,TNNT1,MLPH,COBL,ECEL1,SFTA2,PTGES,ADAMTSL4,SERTM1,B3GNT7,PRDM16,SLC16A4,EPHB2,KLHDC7B,SELE,ABCC2,KRT80,C15orf48,PROK2,RORC,GREM2,HOXA9,TMC5,SLC44A4,CAPN8,ELAVL2,PAEP,MAEL,TFF1,SMOC1,MAPK4,S100P
TCGA-18-3406-01,2743,741,693,1559,733,5999,55,988,124,341,3218,238,2681,869,291,1331,274,5330,2446,360,875,565,977,630,181,557,115,1946,804,2094,207,1449,1700,765,126,5473,1571,389,1497,737,146,238,446,3127,8,148,787,146,38,493,556,455,203,318,721,481,774,1005,830,1312,168,747,7,342,420,46,165,2638,119,11,656,1192,60,971,9,758,548,440,4,167,1323,1695,3948,1548,421,109,88,125,475,190,7,140,12,219,340,299,500,22,1869,640,49,101,19,1,260,140,70,0,30,8,12,23,11,1433
TCGA-18-3407-01,2120,1037,1176,2255,1455,7173,116,1931,174,2987,3322,879,1771,4243,4825,4176,557,5424,2880,2384,1696,1297,1422,2763,166,2537,233,4035,1893,2390,1407,1695,991,3301,42,3188,8566,740,1698,1170,117,406,528,41,7,1209,3299,7430,124,2966,996,418,785,710,43,1572,685,3211,1172,1171,623,1932,1,547,1418,177,428,1436,823,8,3315,2444,314,1236,622,384,1182,169,49,242,4542,908,288,31,531,120,10,430,1291,296,1,527,159,299,370,149,628,104,421,354,9,267,32,20,840,780,622,8,115,8,15,15,23,273
TCGA-18-3408-01,1756,1572,1235,512,196,5162,251,1528,138,2912,1049,468,1227,3278,381,7884,334,187,3295,684,268,44,1956,106,33,723,152,1758,322,1108,132,3140,227,2098,272,4516,3482,838,780,469,209,155,504,24,2,399,1663,10024,33,2509,77,36,166,376,41,687,240,2390,1171,1769,68,804,6,361,700,432,581,567,532,5,181,1380,41,54,760,428,398,60,3,429,2876,212,873,161,727,151,11,500,311,50,4,519,45,176,241,75,28,85,642,351,2,250,35,16,737,549,376,2,20,7,6,13,23,885
TCGA-18-3410-01,5677,5189,2878,3038,4376,14553,24,5742,261,3271,748,280,1604,1520,1980,12294,1012,112,1864,667,2851,880,379,2921,304,2638,118,3199,8757,51,414,588,915,4182,21,2241,5208,746,4876,1692,1,561,182,8165,683,939,2698,600,74,567,1132,46,8378,890,30,482,1409,8173,601,1530,82,202,131,328,341,438,263,1040,80,20,564,215,69,1117,9,2746,307,36,4,564,1843,412,810,83,122,69,103,53,8921,199,0,120,540,308,5080,1961,1060,41,2139,632,23,161,8,75,89,1562,39,2,7,1,0,2518,147,61
TCGA-18-3411-01,8939,2768,3143,2173,1516,16530,329,3459,385,5810,1537,616,903,1418,150,5235,325,5134,2490,993,6517,1192,2207,4510,179,360,70,4999,6740,1245,67,5104,1071,2006,12,5396,15446,1272,1591,394,212,578,258,71,18,264,1564,9173,374,298,1157,16,801,158,180,1150,484,1926,2861,797,300,4193,0,396,1278,362,1855,480,101,1,112,297,261,1168,856,323,530,8,14,2137,2969,454,157,2869,109,34,81,6,1178,203,201,2601,20,126,693,212,243,123,1597,313,3,43,4,16,196,161,32,1,6,2,69,2565,4,1595
TCGA-18-3412-01,8731,3356,641,4894,2314,19551,119,3916,197,6881,5945,1380,4142,5988,2052,9528,492,7856,1659,2208,10416,2687,1813,3483,124,685,111,4771,5704,296,1215,631,2209,3248,121,2372,7882,3752,1091,408,846,420,306,7577,17,245,1730,7005,136,339,803,2895,1572,275,124,1354,1797,2723,2426,481,585,6951,2,325,958,98,662,879,148,7,391,519,101,1117,197,1015,496,17,7,4861,1524,651,1036,251,570,69,22,93,4576,249,0,649,33,115,875,114,123,64,7733,830,12,50,47,11,297,536,64,1,0,2,14,13,3,20815
TCGA-18-3414-01,3708,3342,2374,2690,4519,11234,305,3917,361,4632,8666,404,7578,4704,137,3871,950,10299,5638,4415,1461,2510,3225,4914,817,1647,131,5124,4050,3001,863,930,2667,1732,38,15779,4355,1749,3223,960,46,578,313,1034,736,858,2635,424,341,686,1109,853,992,320,188,2185,1233,3430,897,6069,873,2062,93,395,951,366,4104,720,100,13,263,3438,293,4771,580,1007,531,212,78,1447,5819,1602,1354,341,1198,437,103,61,4372,259,0,1714,72,262,1550,3005,195,30,7596,732,128,70,16,268,1526,2680,66,2,6,233,4,80,56,3360
TCGA-18-3415-01,4531,1729,1480,589,738,14353,121,1892,207,1983,1863,730,3186,788,363,11837,238,1931,1602,895,1929,753,1077,1677,159,456,66,3126,2395,427,186,715,900,922,41,1621,10194,732,1133,437,266,315,406,43,2,210,1249,5185,34,269,673,109,526,163,9,1120,588,3786,452,372,72,1520,3,423,297,195,849,401,80,1,139,230,78,1098,412,1248,366,200,27,849,2444,443,92,806,270,49,22,18,1419,256,78,264,95,123,647,137,392,258,282,277,16,61,2,9,272,252,70,17,60,1,35,234,15,336
TCGA-18-3416-01,4204,5132,1281,1302,7,16730,31,4188,169,2395,373,378,211,1572,439,2125,291,39,2139,2189,5503,406,1559,3032,121,1576,50,2273,4312,183,226,81,476,3121,7,1192,4035,852,1690,792,1,423,184,452,1,288,1574,10789,27,367,616,36,1718,20,13,549,384,602,414,563,4,434,139,686,289,41,216,290,1,0,54,244,33,431,473,249,97,0,8,47,3174,398,437,7,54,4,48,0,2886,292,0,371,241,102,805,673,47,319,211,104,17,32,0,5,13,21,2,1,2,2,1,3,2,47
TCGA-18-3417-01,1216,682,344,1859,970,4150,34,1211,205,837,701,149,166,966,14,8964,138,21,1498,457,1945,496,704,1580,160,403,35,1765,406,34,167,406,608,522,83,1614,2302,393,470,358,1,214,243,147,0,276,538,236,8,111,615,8,845,76,73,1420,399,2042,225,537,2838,1395,2,232,573,73,86,615,75,2,121,36,71,571,141,424,654,175,1,317,1232,134,295,2641,183,11,8,350,1976,55,0,54,2,198,484,36,44,19,927,287,4,22,24,5,74,161,20,1,15,8,2,14,10,60
