Unnamed: 0,MIR205HG,LANCL1-AS1,DLX6-AS1,AC112206.2,LINC00491,POU6F2-AS2,ADAMTS9-AS2,HID1-AS1,AC011374.1,ADAMTS9-AS1,NAGPA-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,LINC02016,AL355388.1,LINC00355,AC026992.2,AC114489.1,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,AL512662.2,LINC00392,AC236972.3,AC003991.1,PTCSC2,AC114812.2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AL139041.1,AL138902.1,AC009123.1,LSAMP-AS1,C10orf91,AC130466.1,MED4-AS1,LINC00520,AC093510.2,MIR130B,AC027288.1,AL445531.1,AC112236.1,AC024337.2,AC006238.1,HOTTIP,AL133325.3,AL683887.1,PART1,AC080023.1,LINC00470,BCRP3,AC090772.3,UCA1,AP002856.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL358332.1,AC008663.1,AC012501.1,AC078882.1,AL512785.1,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,PTCSC3,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC005722.3,AC097717.1,LINC00504,LINC00261,AC134312.1,STEAP3-AS1,AC006305.1,MIAT,CCDC26,AC020551.1,LINC02404,AL359771.1,AC068985.1,HCG21,AL021395.1,AL591178.1,AL357518.1,RMST,AC004832.1,AC069257.1,AL355303.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,LIVAR,AC092811.1,NKX2-1-AS1,AL122008.3,LINC00501,TDRG1,LINC01895,CHODL-AS1,AC096536.2,AL596223.1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,LINC02111,ATP13A4-AS1,AL512622.1,CYYR1-AS1,LINC00221,AC011483.1,LINC00443,AC008750.3,AC128709.1,ADARB2-AS1,AC112721.1,AC125603.4,LINC00469,AC006372.1,RRM1-AS1,AC244502.3,AC022762.1,CNTN4-AS1,AL034397.2,TLR8-AS1,KIAA0087,AC069281.1,LINC01805,AL109914.1,LINC00237,AL135787.1,FAM181A-AS1,AC004817.4,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,LINC00939,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,AC105177.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,3,68,15,271,284,16,0,475,27,1,33,5,370,114,41,2,3,145,5,7,101,0,32,6,2,6,0,8,15,3,739,66,3,7,0,2,7,2,3,2,2,251,3,0,3,1,37,12,1,2,2,9,7,8,223,0,5,62,0,26,55,110,119,64,47,0,2,4,1,12,3,84,1,19,6,7,25,14,11,6,0,0,0,7,0,12,0,1,8,2,3,239,8,39,5,0,9,77,5,2,4,0,1,449,21,1,23,0,166,9,0,7,26,4,0,0,0,0,0,3,0,2,0,0,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,6393,3,0,7,0,9,1,2,3,0,1,0,5,0,0,3,2,0,0,0,0,4,0,0,0,2,4,0,22,6,5,0,1,3,0,0,1,0,12,0,0,5,1,2,1,0,7,1,2,0,0,0,2,2,1,1,0,0,0,2,6,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
TCGA-18-3407-01,15561,18,163,21,203,53,28,6,154,39,9,23,692,604,99,10,0,1,4,4,14,258,0,189,20,2,1,1,8,138,23,602,8,0,8,13,10,4,0,35,4,2,29,0,7,5,13,5,9,3,0,1,14,33,42,7,2,14,9,1,7,46,0,2,21,49,0,1,2,22,51,0,203,3,12,28,0,28,16,0,1,2,2,1,135,0,9,2,2,7,7,3,0,377,6,1,0,0,6,1,6,1,24,5,1,61,0,34,9,496,14,11,0,4,5,0,0,1,1,1,1,24,3,0,2,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,0,176,0,1,5,0,29,17,2,0,1,0,10,0,3,0,1,0,1,0,1,0,27,3,0,0,7,1,4,44,0,1,21,2,1,3,6,0,0,3,0,0,0,7,3,1,10,2,19,7,0,0,1,0,4,1,0,0,0,0,0,24,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,12,839,5,27,394,9,2,95,4,7,50,1104,554,257,10,0,0,0,5,34,21134,0,120,10,2,0,5,3,151,22,294,22,0,12,4,10,17,29,25,7,1,34,3,6,7,6,23,4,7,3,3,8,23,35,3,2,17,3,1,0,93,0,1,41,80,0,1,26,7,7,1,48,1,4,0,4,75,7,17,0,5,42,0,36,0,13,2,4,4,70,7,0,135,7,2,0,0,1,0,0,0,5,4,23,79,0,65,1,2434,11,4,3,0,5,0,39,0,0,0,3,2,4,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,0,44,0,0,18,8,11,36,6,0,6,6,2,0,0,0,2,0,0,0,2,3,5,6,48,1,2,4,1,7,0,2,5,2,0,0,0,0,1,3,0,0,1,7,31,2,3,1,1,0,1,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,13,1261,2,387,129,6,2,62,14,1,6,138,1304,16,4,2,1,311,6,0,162,3,10,56,1,2,1,8,11,3,423,54,0,3,5,8,11,51,21,1,1,10,0,12,2,5,1,3,3,0,3,1,316,3,75,2,28,38,1,20,2,0,14,1,156,3,47,0,0,0,3,48,0,0,14,34,22,6,0,2,13,0,1,72,465,9,3,12,0,0,0,3,70,8,1010,0,6,0,5,1,25,0,1,358,6,2,20,18,498,6,0,7,4,0,1,0,0,5,10,5,5,1,0,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,1,28,1,2,0,1,0,1,4,2,0,7,1,2,7,2,2,7,0,3,4,0,5,0,1,0,0,2,0,2,15,5,13,0,41,1,2,0,0,0,2,0,0,7,1,0,0,5,0,5,0,0,2,53,1,0,2,0,6,0,1,42,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,1,0,0
TCGA-18-3411-01,3580,10,381,14,234,545,6,3,115,5,7,11,676,1240,20,10,0,1,219,1,47,399,0,90,17,2,4,0,1,52,114,250,28,0,26,0,10,17,16,201,5,2,11,0,10,4,13,99,1,0,1,1,21,500,34,175,2,74,2,0,122,104,5,10,62,34,0,18,304,9,2,36,55,1,0,17,4,15,11,2,39,38,42,2,43,0,4,1,3,14,17,17,185,493,31,301,3,1,25,2,8,1,153,8,4,84,2,10,2,569,18,60,0,18,12,0,0,0,0,0,0,4,5,0,0,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,4,100,0,1,18,168,22,17,2,0,33,6,0,5,5,1,1,2,1,0,1,2,1,13,59,0,5,0,4,80,0,2,0,3,0,0,38,0,1,1,2,0,34,2,0,2,1,0,6,0,6,0,1,0,0,2,1,5,8,0,5,1,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,1
TCGA-18-3412-01,3527,11,338,14,104,256,11,4,1625,9,4,60,635,1104,60,8,0,0,0,0,81,891,0,83,18,1,2,0,1,169,7,324,22,1,10,8,16,51,3,226,3,4,20,0,8,2,26,110,14,5,2,1,6,1567,78,155,1,27,19,0,13,19,1,3,2,24,0,1,62,4,9,1,19,3,1,4,334,12,9,2,21,2,10,15,45,1,17,4,4,12,2,0,3,228,15,2,0,0,30,0,20,3,71,5,9,14,0,0,2,98,6,2,0,7,45,0,128,0,0,0,7,7,11,0,6,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,123,781,0,0,4,10,11,13,45,1,0,9,4,8,1,0,7,4,0,4,2,7,7,0,9,0,6,21,2,111,5,1,4,1,0,3,63,1,0,42,1,0,7,2,2,4,12,11,1,0,0,6,3,100,11,10,16,2,2,0,1,315,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
TCGA-18-3414-01,6025,5,236,13,329,465,12,4,98,5,3,18,988,897,121,1056,0,0,256,10,5,231,0,54,24,4,2893,0,8,47,3,453,21,0,45,1,27,90,89,107,3,3,10,1,22,0,18,8,4,2,12,11,6,67,13,181,4,6,12,0,29,301,44,87,4,277,0,59,14,4,15,8,101,0,2,31,1,44,4,5,13,1,2,12,14,19,18,8,4,10,19,7,50,69,32,156,2,13,22,1,28,24,0,6,150,8,6,29,2,185,29,10,1,1,0,1,3,0,1,0,7,3,9,0,3,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,5,3701,0,4,1,26,2,2,2,2052,2,8,1,0,1,0,4,1,2,2,1,2,4,1,2,0,5,4,1,116,89,1,0,1,0,2,17,4,1,57,1,1,0,0,1,8,0,1,1,0,0,1,1,17,3,7,0,1,3,0,2,3,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,0,2
TCGA-18-3415-01,5246,1,219,7,267,109,7,0,189,9,1,16,250,540,38,0,0,0,72,1,41,351,0,78,5,1,2,0,0,32,10,349,16,1,4,1,6,4,24,47,0,0,31,0,0,1,3,17,5,0,3,9,9,989,8,1,0,7,4,0,17,1,1,193,44,11,0,0,4,10,26,3,74,1,0,3,3,24,9,49,1,3,7,3,23,0,5,1,1,3,0,8,0,210,10,0,0,0,9,2,2,6,14,0,77,4,1,24,0,150,12,2,0,0,3,0,1,0,0,0,11,9,2,0,2,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,0,34,0,0,7,6,3,1,3,0,0,1,1,9,0,0,3,0,0,2,0,10,0,3,1,0,3,1,4,48,0,0,4,1,0,0,4,0,0,4,0,0,11,2,17,0,21,7,8,0,0,0,0,3,9,0,0,0,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TCGA-18-3416-01,5350,24,126,9,159,23,16,1,100,7,1,17,20,1174,7,7,0,0,1,1,36,1192,0,48,46,2,1,0,1,110,54,73,4,0,12,2,37,5,0,66,3,5,2,0,4,0,6,6,82,1,8,1,6,35,11,0,2,37,3,0,16,38,1,8,10,13,2,1,99,1,1,0,73,3,0,1,10,35,33,1,0,9,0,2,378,0,11,3,1,2,1,1,6,477,9,0,0,0,16,2,1,11,38,17,4,0,4,3,0,1330,16,0,1,46,18,0,15,0,0,0,0,32,33,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,51,1,0,1,5,0,6,3,0,1,13,14,0,1,1,1,3,0,1,2,0,0,9,8,0,0,0,1,17,2,2,190,0,3,1,8,0,0,0,2,0,10,0,5,2,29,2,3,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,0,29,1,32,23,9,2,73,6,0,6,68,206,14,1,0,0,14,0,7,7,0,9,0,0,9,2,0,3,0,236,69,0,4,0,1,0,23,12,0,0,7,0,1,0,0,0,0,0,3,0,0,5,4,22,0,1,1,1,0,45,0,0,4,12,0,0,3,0,2,4,14,2,1,3,4,9,0,0,0,0,0,0,4,0,0,0,1,2,2,3,1,27,7,1,0,0,2,0,2,5,0,0,28,3,1,2,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,70,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
