Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,CERS3,NEIL3,KPNA2,HOXC13,USH1G,ATAD2,HOXA10,PRKCE,INMT,CLIC5,HECW2,BTBD11,TGFBR2,CACNA2D2,NKX1-2,CABYR,ADAMTS8,VEGFD,PREX2,PHACTR1,SLC6A4,SLC1A1,FOXF1,LIMCH1,ABCA8,UTRN,SCN7A,TMEM100,CLDN18,TSKU,GPD1L,CITED2,PTPRM,RECK,ADH1B,SLC7A11,OGN,SLIT3,LRRK2,DSC1,STXBP5L,OGDHL,NR0B1,KPRP,PAX3,DDAH1,KCNQ5,SALL1,SLC6A11,PEBP4,LEFTY2,LRP8,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,DIRAS2,CRTAC1,JAKMIP3,CBR3,SERTM1,PRDM16,SLC47A2,SHISA9,CAPN3,NECAB2,FRRS1L,RUNDC3A,F2RL2,POPDC3,CHP2,PTPRN2,LRP1B,IGSF10,SELE,ABCC2,SLC38A11,SYNDIG1,ABCA4,PROK2,GREM2,HOXA9,SYT2,AGTR2,NTRK3,CHGA,ELAVL2,FLG,CCNA1,PRB4,CLDN8,CCDC190,DEFA5,OBP2B
TCGA-18-3406-01,2743,741,693,871,740,125,5999,55,63,988,124,238,482,205,274,1659,2446,57,0,35,14,94,115,88,10,207,201,1449,111,765,570,126,116,1571,389,1497,737,446,844,146,187,275,493,1437,1,250,1,31,7,420,46,11,144,77,11,184,9,758,548,1323,3948,16,390,16,141,7,12,9,1,37,1,2,75,12,3,601,113,2,40,500,22,12,92,9,49,19,1,12,27,18,3,0,17,32,0,412,6,0,0
TCGA-18-3407-01,2120,1037,1176,2519,3128,158,7173,116,306,1931,174,879,210,274,557,1119,2880,621,12,287,37,40,233,199,84,1407,241,1695,198,3301,101,42,274,8566,740,1698,1170,528,217,7430,37,671,2966,11,5,919,13,60,1,1418,177,0,3,631,8,2971,622,384,1182,4542,288,155,1294,254,398,1,159,708,0,194,51,32,46,368,325,4,167,46,195,628,104,284,82,68,9,32,20,29,109,34,44,8,139,1471,0,1887,2649,0,1
TCGA-18-3408-01,1756,1572,1235,1023,2420,335,5162,251,219,1528,138,468,529,266,334,1341,3295,151,7,1099,38,103,152,155,23,132,250,3140,177,2098,378,272,130,3482,838,780,469,504,1174,10024,27,173,2509,20,311,16,419,12,6,700,432,73,1,566,5,877,760,428,398,2876,873,505,212,256,1185,4,45,54,1062,64,13,499,20,1570,25,363,85,126,291,28,85,9,57,21,2,35,16,29,296,13,4,2,74,466,0,274,53,0,0
TCGA-18-3410-01,5677,5189,2878,1342,49,717,14553,24,350,5742,261,280,129,243,1012,110,1864,105,5,348,5,32,118,134,14,414,97,588,104,4182,16,21,6424,5208,746,4876,1692,182,49,600,39,274,567,26,2,21,2,26,131,341,438,3,19,53,20,1366,9,2746,307,1843,810,2,1413,17,264,0,540,127,433,70,2,66,34,18,806,14,161,184,185,1060,41,6,111,83,23,8,75,20,13,37,40,2,1,62,3,23,27,0,0
TCGA-18-3411-01,8939,2768,3143,1836,371,353,16530,329,1085,3459,385,616,108,72,325,963,2490,51,4183,5062,5,36,70,71,0,67,73,5104,49,2006,30,12,17,15446,1272,1591,394,258,47,9173,59,159,298,21,832,20,4155,0,0,1278,362,6,101,9,1,1716,856,323,530,2969,157,1894,54,765,1125,201,20,384,548,40,573,184,64,5153,990,37,100,655,636,243,123,154,247,4229,3,4,16,388,1,18,163,1,63,8284,608,274,5250,0,1
TCGA-18-3412-01,8731,3356,641,3802,3254,430,19551,119,870,3916,197,1380,351,134,492,1900,1659,98,1049,2124,24,38,111,216,100,1215,213,631,87,3248,117,121,98,7882,3752,1091,408,306,267,7005,89,266,339,108,1,125,1542,4,2,958,98,0,93,64,7,2087,197,1015,496,1524,1036,1090,116,149,1457,0,33,208,403,44,1534,268,73,83,112,175,161,59,1307,123,64,10,92,1070,12,47,11,626,50,39,192,1,32,31,1,2128,5936,0,1
TCGA-18-3414-01,3708,3342,2374,2259,3140,413,11234,305,202,3917,361,404,238,181,950,950,5638,176,22,118,28,73,131,153,16,863,311,930,117,1732,134,38,95,4355,1749,3223,960,313,106,424,129,595,686,21,526,348,2,11,93,951,366,8,483,44,13,440,580,1007,531,5819,1354,220,114,49,34,0,72,32,12,57,13,30,33,1002,46,308,215,55,272,195,30,12,94,323,128,16,268,316,23,17,48,2,29,216,0,44,1323,1,0
TCGA-18-3415-01,4531,1729,1480,1602,1087,231,14353,121,281,1892,207,730,73,84,238,1554,1602,50,133,972,14,19,66,231,3,186,163,715,46,922,58,41,44,10194,732,1133,437,406,16,5185,15,231,269,12,16,346,1165,23,3,297,195,327,125,2,1,1567,412,1248,366,2444,92,530,44,343,2255,78,95,638,8,25,51,184,40,1183,293,363,100,25,93,392,258,4914,274,693,16,2,9,6,3,7,607,17,28,457,0,68,422,0,0
TCGA-18-3416-01,4204,5132,1281,1282,2666,376,16730,31,34,4188,169,378,16,265,291,599,2139,63,1148,1601,4,76,50,270,6,226,1261,81,22,3121,11,7,10,4035,852,1690,792,184,13,10789,14,99,367,6,30,3,3,2,139,289,41,1,6,1,0,4878,473,249,97,3174,437,1354,6,892,935,0,241,158,211,201,514,385,12,92,2,422,113,252,408,47,319,14,266,34,17,0,5,36,0,9,6,1,28,1,0,314,3223,0,0
TCGA-18-3417-01,1216,682,344,137,1,51,4150,34,13,1211,205,149,149,19,138,168,1498,26,10,30,4,4,35,13,1,167,131,406,60,522,43,83,32,2302,393,470,358,243,11,236,86,125,111,8,9,145,0,0,2,573,73,37,108,46,2,346,141,424,654,1232,295,0,112,2,36,0,2,10,3,1,6,2,32,50,200,23,30,0,31,44,19,5,278,6,4,24,5,2,1,1,0,1,9,21,0,0,1,0,0
TCGA-18-3419-01,4453,3187,681,912,3723,332,12631,432,1026,5458,120,607,125,117,214,791,1189,578,98,191,10,6,58,66,11,591,61,122,13,822,1,5,5,2228,3233,610,822,117,154,1001,2,120,412,12,4,586,0,1,15,1122,4,0,883,1,1,529,17,285,161,1225,651,6,5,133,61,4,14,5,3,35,3,22,88,29,9,743,240,3,306,47,25,102,3,229,43,2,9,552,0,6,4,49,12,539,0,68,1447,0,0
TCGA-18-3421-01,4052,2391,2244,596,1492,311,9185,64,38,3695,140,260,286,165,169,454,1433,72,164,46,23,1,68,54,1,232,167,414,58,719,64,155,67,1851,3957,929,308,129,415,826,64,108,1156,7,9,127,12,0,2,489,152,1,22,354,2,630,214,609,319,3486,587,6,389,42,220,4,78,9,27,17,7,28,9,23,4,75,144,0,37,55,18,11,21,20,38,9,9,167,32,10,2,1,3,190,0,43,971,1,0
TCGA-18-4086-01,5295,3594,2373,1497,2504,388,13219,78,429,3984,121,630,259,135,426,2256,3133,82,890,1184,27,32,132,431,46,147,375,2672,138,4468,139,37,35,9581,1048,1594,796,536,387,12150,63,640,465,58,876,198,1806,104,1,794,285,418,59,26,10,4600,835,257,866,3587,280,444,92,598,786,20,251,184,576,99,734,624,95,2458,169,380,238,444,273,434,97,514,548,678,15,14,12,20,5,30,515,1,118,3631,1,317,78,0,0
TCGA-18-4721-01,1431,795,444,710,168,252,6562,127,179,1465,126,273,123,122,232,1331,1995,86,7,1146,7,19,53,110,4,221,137,551,68,1490,106,61,54,2996,744,784,400,223,167,3165,54,276,319,6,108,42,644,0,14,251,467,25,223,33,0,601,341,289,706,1446,185,398,67,121,361,43,27,27,4,15,113,170,25,786,46,2,65,130,24,170,117,12,344,72,3,7,7,5,3,15,129,2,55,158,1,642,11,0,0
TCGA-18-5592-01,4486,3817,1743,1797,1881,787,15098,207,1830,4358,848,1098,71,121,432,5917,2453,52,556,5304,15,28,67,77,27,36,189,3637,52,3260,42,17,65,18893,930,835,453,362,7,3248,18,606,332,27,664,675,2763,303,30,391,504,390,1317,4,4,3060,1714,140,314,7661,120,2996,38,545,936,30,267,1347,14,61,538,294,118,2038,1481,1150,93,544,1118,91,33,5,2485,2991,3,12,14,97,1,5,292,1,623,1490,1,3707,2012,0,0
TCGA-18-5595-01,10757,11347,1681,3472,2731,1244,16487,117,1446,14423,222,1118,615,1096,521,5545,3422,600,1207,3505,123,150,177,516,97,1255,278,1549,199,8109,184,149,2016,11253,3585,3504,844,249,795,40562,92,737,1404,28,515,876,471,701,1,755,667,394,302,417,18,10148,1,422,638,4308,1140,1333,1289,1271,1129,14,892,4921,868,89,450,1,38,3513,53,252,391,7,437,47,174,2,857,26164,1,14,48,338,229,48,401,572,494,12,0,643,2786,0,0
TCGA-21-1075-01,6155,3622,2199,1687,1568,788,15113,91,638,4818,19,576,83,65,231,3534,2040,44,1,3019,11,241,58,217,12,67,159,4679,32,4176,73,48,22,11260,716,4713,190,551,115,23989,6,44,1019,23,185,32,2715,21,0,1710,925,2,3,40,3,2226,1,114,568,3493,157,681,160,448,339,286,51,327,3358,60,382,515,16,2400,141,9,48,498,250,57,15674,14899,25,89,3,5,22,17,39,0,90,3,297,705,0,4749,1953,0,0
TCGA-21-1076-01,2731,1898,542,1593,1669,286,8025,532,114,3782,169,1085,1639,1385,1134,1004,9347,1073,28,283,146,512,509,333,68,1007,699,2658,384,10120,739,298,2056,3911,1794,4367,2788,918,2919,6107,137,2738,4979,171,19,196,0,962,9,2509,381,107,53,574,41,1547,652,953,1284,9778,708,11,1441,39,157,5,213,83,134,492,26,111,130,109,239,47,322,17,290,255,65,24,249,103,10,43,24,37,476,70,38,2,111,521,0,27,17,0,3
TCGA-21-1077-01,4860,2133,3123,1473,2454,169,10992,188,618,1906,345,776,394,254,469,1217,4290,604,17,1038,80,90,227,604,13,148,1096,1988,399,3681,335,90,287,8197,1569,2224,1913,486,496,4111,128,827,1500,11,46,92,433,53,291,1142,147,342,202,243,3,2934,1015,1444,1419,8685,172,262,832,825,252,5,122,102,45,105,195,630,335,674,321,150,224,75,202,128,48,1224,178,923,8,84,34,72,73,39,141,8,34,2029,0,548,240,0,1
TCGA-21-1078-01,1503,1162,246,5611,11,65,3055,205,0,1194,967,563,285,191,299,177,3680,128,1,265,54,83,86,41,57,747,287,3312,45,1591,30,147,150,12557,3558,8159,11281,157,67,193,2,3529,103,5,1,1375,0,3,41,891,3,5,343,26,10,271,0,1868,387,2930,430,0,1974,17,61,0,15,4,0,188,4,41,66,70,5,121,655,156,6,3,32,3,14,6,0,25,23,22,17,4,1,4,0,49,0,11,1,0,0
