Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-18-3406-01,7903,171,16366,3029,11,138,20,28,379,2,7317,189,15,4,125,0,0,0,0,0,2
TCGA-18-3407-01,13099,104,55809,32106,117,67,12,67,112,3,50972,822,46,1,173,1,0,0,0,0,1
TCGA-18-3408-01,5242,266,22002,17351,69,142,3,52,123,8,21550,291,21,0,104,0,1,0,0,1,0
TCGA-18-3410-01,2262,75,20196,44438,212,26,1,27,27,7,91264,178,38,0,123,0,1,0,0,14,0
TCGA-18-3411-01,1781,524,16776,28316,97,148,6,15,65,8,35861,445,35,1,152,0,0,0,0,0,0
TCGA-18-3412-01,4488,625,8631,23986,66,98,7,21,131,8,37466,128,38,0,74,0,1,0,0,0,0
TCGA-18-3414-01,2472,100,19023,6256,27,254,5,15,61,2,13498,219,15,3,164,0,1,0,0,0,0
TCGA-18-3415-01,7323,532,21388,19627,39,2,26,42,42,9,18810,168,65,1,150,0,0,0,0,0,0
TCGA-18-3416-01,6514,278,37273,15813,100,115,4,16,182,17,25717,372,58,0,80,0,0,1,1,0,0
TCGA-18-3417-01,2636,74,15452,36794,52,38,22,19,143,3,55068,297,7,0,62,0,0,0,0,0,0
TCGA-18-3419-01,2872,219,9661,14997,34,15,2,8,26,30,14037,85,26,0,110,0,0,0,0,0,0
TCGA-18-3421-01,6184,479,16927,33185,52,1110,41,20,150,29,26912,458,103,3,109,0,2,0,0,0,0
TCGA-18-4086-01,5639,463,19029,25672,35,5,15,25,123,11,32816,268,10,0,136,0,0,0,1,1,0
TCGA-18-4721-01,3154,276,13525,27778,21,28,7,21,183,18,28181,316,8,1,172,1,1,0,13,4,0
TCGA-18-5592-01,7300,235,48789,36435,83,0,8,19,77,5,44612,127,9,0,40,0,0,0,0,0,0
TCGA-18-5595-01,19487,337,24593,21052,44,154,26,23,182,6,27741,516,13,0,87,0,0,0,0,0,0
TCGA-21-1075-01,18371,529,29095,107114,109,110,25,22,135,27,89167,431,8,0,273,0,32,0,0,2,0
TCGA-21-1076-01,2269,180,7300,25809,65,9,5,46,158,3,51130,1088,16,1,79,0,0,12,0,2,2
TCGA-21-1077-01,3577,460,15135,34969,77,14,5,34,178,6,59332,725,26,0,129,3,77,0,0,0,1
TCGA-21-1078-01,6859,102,33027,26036,101,1,13,20,64,5,60812,192,17,0,71,0,0,0,0,0,0
TCGA-21-1079-01,5949,358,53544,22016,75,1218,47,52,341,8,61411,322,52,9,34,0,0,0,0,0,0
TCGA-21-1080-01,3052,479,34007,24655,47,47,9,37,229,4,35185,531,6,0,45,3,0,0,0,0,0
TCGA-21-1083-01,4827,57,27505,16316,48,7,10,27,107,10,27157,257,8,1,174,1,0,0,0,0,0
TCGA-21-5782-01,28487,1020,89055,86623,138,26,43,134,103,43,95124,1253,93,1,244,0,0,0,0,0,0
