Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,AC010168.1,POU6F2-AS2,ADAMTS9-AS2,G2E3-AS1,AC011374.1,MIR2052HG,ADAMTS9-AS1,AL513123.1,SOX21-AS1,C5orf66-AS1,PVT1,SFTA1P,LINC00393,AL355388.1,LINC00355,AC010280.1,SOX2-OT,AC105206.1,LINC00640,AL139385.1,AC078778.1,LINC00392,AC234772.2,MAGI2-AS3,NAALADL2-AS2,GHET1,AP000438.1,HOTAIR,AC008406.3,LSAMP-AS1,C10orf91,MED4-AS1,LINC01901,LINC00520,AC093510.2,AP001360.2,MIR130B,AC108676.1,AC084816.1,AC006238.1,HOTTIP,PKP4-AS1,LINC02012,AL590644.1,PART1,LINC00470,BCRP3,UCA1,AL079303.2,AC044839.1,AC092142.1,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,AL122058.1,LINC00163,LINC00461,AC021683.3,AP002478.1,AC112484.4,KCNH1-IT1,GDNF-AS1,AP003063.1,LINC01992,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL121761.2,AC069120.1,MUC2,LINC00173,AC061975.6,MLIP-IT1,AL034397.3,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00518,LINC02031,LINC00184,LINC00211,STEAP2-AS1,AC068305.3,WASIR2,AC097717.1,CERS3-AS1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,B3GALT5-AS1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AC004990.1,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC008109.1,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,AC024475.4,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,68,284,16,126,475,160,27,33,5,15,370,114,41,3,145,42,101,0,181,32,6,6,39,739,66,22,3,7,0,2,3,2,1,251,3,18,0,0,7,1,2,12,7,11,7,223,0,62,2,95,125,26,55,110,119,64,47,5,0,2,0,4,4,1,12,0,6,3,84,1,19,6,7,25,60,1,0,7,0,12,49,0,1,8,2,239,8,39,5,0,9,0,77,5,2,102,4,1,24,449,21,23,0,166,9,0,0,0,0,3,2,0,0,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,6393,3,60,0,0,9,2,3,1,0,0,3,2,0,0,0,4,0,2,4,4,22,6,5,1,3,0,1,0,0,0,0,5,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,50,53,28,120,154,114,39,23,692,152,604,99,10,1,4,6,258,0,78,189,20,1,22,602,8,47,0,8,61,0,35,2,54,29,0,73,7,265,31,3,0,40,94,19,33,7,2,9,42,3,51,7,46,0,2,21,49,15,0,1,4,2,883,22,51,19,1,0,203,3,12,28,0,28,12,3,1,135,0,9,23,2,2,7,7,0,377,6,1,0,0,22,6,1,6,3,1,5,23,1,61,34,9,496,14,0,0,1,1,1,11,0,2,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,0,176,0,337,1,0,29,2,0,0,3,0,1,0,1,0,1,27,0,7,1,0,44,0,1,2,1,3,0,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,72,394,9,2,95,4,4,50,1104,0,554,257,10,0,0,19,21134,0,59,120,10,0,26,294,22,58,0,12,2,29,25,1,1,34,3,11,6,0,8,7,3,55,15,1,23,3,2,3,16,4,68,0,93,0,1,41,80,11,0,1,3,26,5,7,7,1,0,1,48,1,4,0,4,75,54,13,0,36,0,13,15,2,4,4,70,0,135,7,2,0,0,18,1,0,0,2,0,4,7,23,79,65,1,2434,11,0,39,0,0,3,368,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,0,44,0,239,0,8,11,6,0,6,0,0,2,0,0,0,2,5,1,2,4,0,7,0,2,2,0,0,0,1,1,0,0,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,14,129,6,71,62,52,14,6,138,1,1304,16,4,1,311,4,162,3,72,10,56,2,0,423,54,96,0,3,2,51,21,1,1,10,0,39,12,204,7,3,0,58,36,1,316,75,2,38,43,0,62,20,2,0,14,1,156,3,3,47,32,0,22,0,0,3,0,3,48,0,0,14,34,22,14,23,1,72,465,9,15,3,12,0,0,3,70,8,1010,0,6,1,0,5,1,16,25,1,22,358,6,20,18,498,6,1,0,5,10,5,9,0,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,1,28,1,4,2,1,0,4,2,7,7,2,2,7,0,3,4,5,0,0,2,10,2,15,5,0,41,1,0,0,3,2,0,0,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,210,545,6,300,115,190,5,11,676,19,1240,20,10,1,219,146,399,0,172,90,17,4,40,250,28,144,0,26,2,16,201,2,26,11,0,1,10,316,17,0,1,32,22,4,500,175,2,2,66,2,76,122,104,5,10,62,34,42,0,18,32,304,96,9,2,25,38,36,55,1,0,17,4,15,17,80,2,43,0,4,13,1,3,14,17,185,493,31,301,3,1,45,25,2,8,27,1,8,1,4,84,10,2,569,18,0,0,0,0,0,90,0,0,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,4,100,0,376,1,168,22,2,0,6,5,1,1,2,1,0,1,1,0,5,0,0,80,0,2,3,0,0,0,1,1,2,0,34,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,180,256,11,330,1625,144,9,60,635,244,1104,60,8,0,0,350,891,0,308,83,18,2,97,324,22,206,1,10,44,3,226,4,19,20,0,49,8,34,11,5,2,440,36,10,1567,155,1,19,348,58,165,13,19,1,3,2,24,264,0,1,118,62,12,4,9,43,5,1,19,3,1,4,334,12,2,38,15,45,1,17,38,4,4,12,2,3,228,15,2,0,0,2225,30,0,20,57,3,5,16,9,14,0,2,98,6,0,128,0,0,7,2,0,6,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,123,781,0,251,0,10,11,45,1,9,1,0,7,4,0,4,2,7,0,6,21,1,111,5,1,1,0,3,1,0,3,1,0,7,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,84,465,12,189,98,239,5,18,988,70,897,121,1056,0,256,14,231,0,83,54,24,2893,60,453,21,127,0,45,9,89,107,3,61,10,1,27,22,130,34,2,12,86,26,12,67,181,4,12,113,4,267,29,301,44,87,4,277,2,0,59,91,14,70,4,15,15,11,8,101,0,2,31,1,44,117,13,12,14,19,18,150,8,4,10,19,50,69,32,156,2,13,20,22,1,28,15,24,6,103,150,8,29,2,185,29,1,3,1,0,7,28,0,3,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,5,3701,0,181,4,26,2,2,2052,8,1,0,4,1,2,2,1,4,0,5,4,86,116,89,1,1,0,2,4,1,1,1,1,0,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,62,109,7,184,189,68,9,16,250,85,540,38,0,0,72,40,351,0,223,78,5,2,23,349,16,23,1,4,0,24,47,0,23,31,0,30,0,26,6,0,3,62,13,2,989,1,0,4,99,204,15,17,1,1,193,44,11,5,0,0,2,4,105,10,26,23,30,3,74,1,0,3,3,24,9,3,3,23,0,5,22,1,1,3,0,0,210,10,0,0,0,1,9,2,2,5,6,0,3,77,4,24,0,150,12,0,1,0,0,11,4,0,2,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,0,34,0,148,0,6,3,3,0,1,0,0,3,0,0,2,0,0,0,3,1,2,48,0,0,1,0,0,0,0,2,0,0,11,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,81,23,16,69,100,98,7,17,20,40,1174,7,7,0,1,87,1192,0,281,48,46,1,186,73,4,35,0,12,5,0,66,5,3,2,0,996,4,4,4,1,8,137,59,6,35,0,2,3,14,30,7,16,38,1,8,10,13,18,2,1,14,99,28,1,1,74,0,0,73,3,0,1,10,35,1,0,2,378,0,11,62,3,1,2,1,6,477,9,0,0,0,36,16,2,1,5,11,17,59,4,0,3,0,1330,16,0,15,0,0,0,1,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,51,1,14,0,5,0,3,0,13,1,1,1,3,0,1,2,0,0,0,0,2,17,2,2,0,3,1,0,0,0,2,0,10,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,9,23,9,24,73,33,6,6,68,0,206,14,1,0,14,11,7,0,15,9,0,9,8,236,69,4,0,4,0,23,12,0,8,7,0,0,1,31,2,0,3,4,5,1,5,22,0,1,0,0,103,0,45,0,0,4,12,7,0,0,0,3,0,0,2,0,1,4,14,2,1,3,4,9,2,0,0,4,0,0,3,0,1,2,2,1,27,7,1,0,0,13,2,0,2,0,5,0,0,28,3,2,0,18,5,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,70,0,4,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
