Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,GJB6,CERS3,KPNA2,HOXC13,ATAD2,HOXA10,RHOV,PRKCE,ALDH3B2,TMPRSS11E,SERPINB13,PGLYRP3,HECW2,FAM83C,C10orf99,TGFBR2,A2ML1,TMEM79,PREX2,SPRR2D,IVL,IL36RN,TMPRSS11A,GSDMC,IL36G,SLC1A1,LIMCH1,CNFN,GRHL1,UTRN,TMPRSS11D,TMEM100,SPRR1A,TSKU,GPD1L,CITED2,S100A7A,PTPRM,CLCA4,RECK,AMTN,SPRR2E,SLC7A11,BDH1,LRRK2,FST,NCCRP1,SPRR2G,KRTDAP,ZNF750,FAM84A,MGLL,SUSD4,RPTN,SERPINB3,PAX3,DDAH1,KCNQ5,HOPX,LEFTY2,TBX18,SPRR2F,ENPP4,DUOX1,SERPINB2,AKAP12,LPCAT1,ULBP2,POF1B,SERTM1,PRDM16,SELE,SCGB3A1,PROK2,GREM2,HOXA9,ELAVL2
TCGA-18-3406-01,2743,741,693,871,57871,740,5999,55,988,124,3218,238,2681,570,18467,1371,274,585,689,2446,283,1082,115,12358,5760,1257,2236,2094,2656,207,1449,255,1068,765,7379,126,10022,1571,389,1497,6849,737,569,446,20,7911,146,1455,493,159,455,314,1789,4608,2114,1832,2094,31,30751,7,420,46,4096,11,9,1172,758,473,1441,548,1323,3948,1997,7,12,500,270,49,19,1,0
TCGA-18-3407-01,2120,1037,1176,2519,41583,3128,7173,116,1931,174,3322,879,1771,5567,10215,620,557,2031,459,2880,3357,1616,233,10869,2155,2452,8866,2390,2622,1407,1695,2212,2227,3301,22137,42,10641,8566,740,1698,1671,1170,318,528,839,12962,7430,3330,2966,5085,418,725,2848,3672,3543,4396,5351,134,3208,1,1418,177,6593,8,622,3235,384,3143,1735,1182,4542,288,929,1,159,628,1029,9,32,20,8
TCGA-18-3408-01,1756,1572,1235,1023,9791,2420,5162,251,1528,138,1049,468,1227,1417,3965,38,334,84,475,3295,363,696,152,170,26,54,472,1108,21,132,3140,30,2198,2098,2590,272,124,3482,838,780,26,469,56,504,31,61,10024,1059,2509,3046,36,12,28,760,4725,932,4803,6,1176,6,700,432,4009,5,760,17,428,1113,31,398,2876,873,2827,4,45,28,1,2,35,16,2
TCGA-18-3410-01,5677,5189,2878,1342,369,49,14553,24,5742,261,748,280,1604,679,130,97,1012,332,14,1864,3158,457,118,185,119,61,119,51,52,414,588,646,1019,4182,157,21,127,5208,746,4876,14,1692,22,182,540,103,600,1443,567,178,46,5,12,1065,9976,4849,1831,9,39,131,341,438,791,20,9,35,2746,1893,133,307,1843,810,131,0,540,1060,141,23,8,75,2
TCGA-18-3411-01,8939,2768,3143,1836,7543,371,16530,329,3459,385,1537,616,903,534,2632,8,325,10,129,2490,90,533,70,182,25,233,259,1245,249,67,5104,133,1469,2006,340,12,248,15446,1272,1591,15,394,43,258,79,212,9173,2198,298,4670,16,19,19,568,2374,784,6658,56,4945,0,1278,362,1976,1,856,12,323,886,128,530,2969,157,422,201,20,243,4218,3,4,16,1
TCGA-18-3412-01,8731,3356,641,3802,21081,3254,19551,119,3916,197,5945,1380,4142,7687,5987,86,492,1698,1904,1659,9502,1753,111,1571,1710,654,2457,296,762,1215,631,899,5005,3248,3249,121,9629,7882,3752,1091,18,408,875,306,32,3348,7005,8764,339,5794,2895,235,9758,5805,5032,1063,5106,962,2484,2,958,98,16676,7,197,96,1015,1376,5695,496,1524,1036,9232,0,33,123,70,12,47,11,1
TCGA-18-3414-01,3708,3342,2374,2259,2431,3140,11234,305,3917,361,8666,404,7578,2850,11359,89,950,1386,41,5638,2770,2114,131,4912,139,97,4766,3001,594,863,930,235,2818,1732,9611,38,3786,4355,1749,3223,192,960,2770,313,305,1118,424,1657,686,1906,853,114,34,3389,4720,4554,5858,4,3225,93,951,366,1842,13,580,247,1007,4136,4439,531,5819,1354,3141,0,72,195,136,128,16,268,2
TCGA-18-3415-01,4531,1729,1480,1602,2693,1087,14353,121,1892,207,1863,730,3186,343,9490,63,238,243,769,1602,2226,1707,66,2000,2159,1418,570,427,2126,186,715,203,544,922,906,41,10672,10194,732,1133,663,437,130,406,81,2111,5185,1596,269,2033,109,53,10,776,3236,1139,1438,260,3013,3,297,195,1626,1,412,167,1248,1773,234,366,2444,92,318,78,95,392,692,16,2,9,17
TCGA-18-3416-01,4204,5132,1281,1282,5062,2666,16730,31,4188,169,373,378,211,126,2105,5,291,32,214,2139,406,462,50,75,25,37,6249,183,43,226,81,124,316,3121,2826,7,385,4035,852,1690,8,792,6,184,72,363,10789,4103,367,1857,36,5,0,339,1707,605,389,21,9,139,289,41,532,0,473,13,249,401,225,97,3174,437,1529,0,241,47,4,17,0,5,1
TCGA-18-3417-01,1216,682,344,137,646,1,4150,34,1211,205,701,149,166,162,154,1,138,0,63,1498,11262,237,35,3,14,30,77,34,50,167,406,43,290,522,3,83,2,2302,393,470,3,358,3,243,26,0,236,124,111,417,8,2,3,310,978,232,2195,0,17,2,573,73,923,2,141,1,424,463,14,654,1232,295,220,0,2,44,5,4,24,5,1
