Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,G2E3-AS1,AL512363.1,AC011374.1,LINC01322,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC01807,DARS-AS1,LINC00393,AL355388.1,LINC00355,AL358334.2,SOX2-OT,AC105206.1,LINC00640,AL139385.1,AC078778.1,LINC00392,LINC00702,AC091182.2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AC004816.1,LSAMP-AS1,LUARIS,C10orf91,MED4-AS1,LINC00520,SLC12A9-AS1,AC093510.2,AP001453.2,MIR130B,AC006238.1,HOTTIP,MYOSLID,AC113346.1,AL136018.1,PART1,LINC01615,LINC02323,LINC00470,BCRP3,UCA1,AC099066.2,LINC01705,LINC00337,MIR31HG,MIR137HG,LINC00704,AL163952.1,AC093515.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,LINC01614,C1orf132,LINC01285,APCDD1L-AS1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC134312.5,MUC2,LINC00173,U62317.2,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC02081,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,LINC02454,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,LINC02551,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,LINC01929,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC01522,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3406-01,5367,68,271,284,16,126,153,475,51,27,33,5,370,114,452,110,41,3,145,13,101,0,181,32,6,6,16,12,739,66,3,7,229,2,6,3,2,251,6,3,12,0,1,2,115,12,6,7,61,4,223,0,62,135,27,26,55,110,98,119,12,64,47,0,2,4,1,12,3,138,84,162,114,1,19,6,7,25,6,0,7,30,0,12,0,1,8,2,239,8,39,5,0,104,9,77,5,2,4,1,449,21,23,0,166,9,2,0,0,0,0,3,0,0,3,28,4,0,1,0,0,258,0,51,0,0,0,25,0,0,6393,3,0,12,0,9,2,3,1,0,0,3,2,0,31,0,0,4,0,2,80,4,22,6,5,1,3,0,1,0,0,0,5,1,7,2,0,0,0,2,2,1,1,0,0,0,2,0,3,0,11,0,0,0,0,0,3,0,9,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TCGA-18-3407-01,15561,163,203,53,28,120,44,154,55,39,23,692,604,99,23,62,10,1,4,2,258,0,78,189,20,1,57,284,602,8,0,8,149,0,16,35,2,29,20,0,11,7,3,0,85,21,347,33,18,7,7,2,9,89,33,7,46,0,42,2,4,21,49,0,1,2,22,51,0,141,203,338,5,3,12,28,0,28,19,1,135,24,0,9,2,2,7,7,0,377,6,1,0,36,0,6,1,6,1,5,1,61,34,9,496,14,0,0,0,1,1,1,0,2,0,4,1,2,0,0,0,19,2,14,2,0,0,1,0,0,176,0,1,2,0,29,2,0,0,3,0,1,0,1,77,0,1,27,0,7,2,1,44,0,1,2,1,3,0,0,0,0,0,1,2,7,0,0,1,0,4,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TCGA-18-3408-01,2173,839,27,394,9,2,326,95,90,4,50,1104,554,257,0,85,10,0,0,7,21134,0,59,120,10,0,30,7,294,22,0,12,50,29,2,25,1,34,0,3,0,6,7,3,61,0,16,23,8,6,3,2,3,22,10,0,93,0,34,1,2,41,80,0,1,26,7,7,1,80,48,8,0,1,4,0,4,75,8,0,36,10,0,13,2,4,4,70,0,135,7,2,0,3,0,1,0,0,0,4,23,79,65,1,2434,11,13,0,39,0,0,3,0,1,3,16,0,0,0,0,1,12,0,9,0,0,0,12,0,0,44,0,0,1,8,11,6,0,6,0,0,2,0,0,15,0,2,5,1,2,0,4,7,0,2,2,0,0,0,1,0,0,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TCGA-18-3410-01,3172,1261,387,129,6,71,195,62,63,14,6,138,1304,16,198,140,4,1,311,5,162,3,72,10,56,2,21,11,423,54,0,3,43,51,26,21,1,10,7,0,3,12,3,0,102,7,1,316,15,16,75,2,38,39,13,20,2,0,0,14,25,1,156,3,47,0,0,0,3,76,48,54,16,0,0,14,34,22,16,1,72,33,465,9,3,12,0,0,3,70,8,1010,0,102,6,0,5,1,25,1,358,6,20,18,498,6,0,1,0,5,10,5,0,1,0,95,2,2,46,1,6,457,3,12,0,0,42,4,0,1,28,1,2,5,1,0,4,2,7,7,2,2,7,0,11,3,4,5,0,0,52,2,2,15,5,0,41,1,0,0,2,0,0,0,5,5,0,0,2,53,1,0,2,0,6,0,1,0,0,14,3,0,2,0,0,0,12,0,8,0,0,0,1,7,1,1,3,0,27,11,0,13,0,5,0,0,0,0,49,0,0
TCGA-18-3411-01,3580,381,234,545,6,300,71,115,66,5,11,676,1240,20,86,102,10,1,219,87,399,0,172,90,17,4,30,33,250,28,0,26,284,16,31,201,2,11,58,0,8,10,0,1,109,9,735,500,193,41,175,2,2,344,18,122,104,5,6,10,712,62,34,0,18,304,9,2,36,162,55,14,1,1,0,17,4,15,49,2,43,7,0,4,1,3,14,17,185,493,31,301,3,187,1,25,2,8,1,8,4,84,10,2,569,18,52,0,0,0,0,0,0,0,1,80,1,0,0,1,0,26,0,10,0,0,2,2,0,4,100,0,1,9,168,22,2,0,6,5,1,1,2,1,205,0,1,1,0,5,5,0,80,0,2,3,0,0,0,1,2,0,34,2,0,0,6,0,1,0,0,2,1,5,8,0,5,0,0,0,0,0,3,1,7,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
TCGA-18-3412-01,3527,338,104,256,11,330,156,1625,97,9,60,635,1104,60,55,62,8,0,0,29,891,0,308,83,18,2,30,14,324,22,1,10,475,3,7,226,4,20,62,0,36,8,5,2,98,6,269,1567,18,115,155,1,19,51,26,13,19,1,54,3,0,2,24,0,1,62,4,9,1,165,19,139,6,3,1,4,334,12,23,15,45,9,1,17,4,4,12,2,3,228,15,2,0,87,0,30,0,20,3,5,9,14,0,2,98,6,1,0,128,0,0,7,0,6,0,18,0,0,2,1,0,2,0,13,4,1,2,63,0,123,781,0,0,1,10,11,45,1,9,1,0,7,4,0,57,4,2,7,0,6,5,21,111,5,1,1,0,3,1,0,1,0,7,4,11,0,0,6,3,100,11,10,16,2,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0
TCGA-18-3414-01,6025,236,329,465,12,189,107,98,115,5,18,988,897,121,355,89,1056,0,256,12,231,0,83,54,24,2893,47,25,453,21,0,45,451,89,10,107,3,10,47,1,15,22,2,12,114,15,16,67,84,36,181,4,12,73,15,29,301,44,31,87,2,4,277,0,59,14,4,15,8,90,101,117,35,0,2,31,1,44,53,12,14,21,19,18,8,4,10,19,50,69,32,156,2,41,13,22,1,28,24,6,150,8,29,2,185,29,16,1,3,1,0,7,0,3,1,3,3,0,5,1,4,47,0,5,0,0,2,23,0,5,3701,0,4,3,26,2,2,2052,8,1,0,4,1,2,102,2,1,4,0,5,5,4,116,89,1,1,0,2,4,1,1,1,0,8,1,0,0,1,1,17,3,7,0,1,3,0,2,1,1,0,5,2,0,0,3,0,0,1,14,0,3,0,0,3,1,0,2,0,0,2,0,3,0,0,0,0,5,5,2,0,2
TCGA-18-3415-01,5246,219,267,109,7,184,63,189,17,9,16,250,540,38,74,80,0,0,72,74,351,0,223,78,5,2,22,37,349,16,1,4,78,24,17,47,0,31,10,0,3,0,0,3,48,17,365,989,55,84,1,0,4,84,28,17,1,1,48,193,3,44,11,0,0,4,10,26,3,112,74,8,6,1,0,3,3,24,23,3,23,99,0,5,1,1,3,0,0,210,10,0,0,51,0,9,2,2,6,0,77,4,24,0,150,12,7,0,1,0,0,11,0,2,0,10,1,0,0,0,1,9,0,15,0,2,2,17,0,0,34,0,0,7,6,3,3,0,1,0,0,3,0,0,32,2,0,0,0,3,3,1,48,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,3,9,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-18-3416-01,5350,126,159,23,16,69,147,100,22,7,17,20,1174,7,0,119,7,0,1,24,1192,0,281,48,46,1,4,65,73,4,0,12,77,0,0,66,5,2,10,0,11,4,1,8,39,2,14,35,16,2,0,2,3,8,0,16,38,1,12,8,1,10,13,2,1,99,1,1,0,6,73,1,3,3,0,1,10,35,8,2,378,77,0,11,3,1,2,1,6,477,9,0,0,81,0,16,2,1,11,17,4,0,3,0,1330,16,0,0,15,0,0,0,0,2,0,1,0,0,11,1,0,2,0,1,0,0,0,1,0,0,51,1,0,2,5,0,3,0,13,1,1,1,3,0,5,1,2,0,0,0,0,0,17,2,2,0,3,1,0,0,2,0,10,2,2,0,0,7,2,0,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
TCGA-18-3417-01,4735,29,32,23,9,24,37,73,22,6,6,68,206,14,27,26,1,0,14,11,7,0,15,9,0,9,12,3,236,69,0,4,33,23,2,12,0,7,4,0,1,1,0,3,35,17,0,5,47,0,22,0,1,79,87,0,45,0,43,0,17,4,12,0,0,3,0,2,4,171,14,2,14,2,1,3,4,9,38,0,4,2,0,0,0,1,2,2,1,27,7,1,0,102,0,2,0,2,5,0,28,3,2,0,18,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132,0,3,0,0,0,0,0,0,70,0,0,14,7,4,0,0,3,0,0,0,0,0,143,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0
TCGA-18-3419-01,2716,70,340,38,8,305,14,561,53,3,14,4,407,10,110,72,98,0,212,2,55,0,1086,129,11,4,9,2,84,1,1,30,116,18,2,75,0,10,38,2,10,21,2,0,18,0,6,552,6,14,244,1,5,1,4,171,0,5,1,107,0,3,2,0,3,1,0,0,0,11,35,128,1,0,0,12,32,15,10,21,11,7,258,1,2,7,8,0,16,145,2,5,0,179,1,0,1,8,18,2,1323,1,2,0,296,9,1,0,13,0,0,6,0,7,1,96,0,0,10,1,0,1,0,13,0,1,0,1,0,0,2726,0,0,1,0,0,0,3,0,3,0,6,10,0,13,0,0,2,0,0,0,1,10,1,1,15,68,2,13,0,0,0,0,0,6,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TCGA-18-3421-01,3886,283,184,75,15,12,163,106,0,6,0,111,1485,293,32,193,8,8,0,12,471,1,313,20,25,1,15,2,178,13,0,0,263,10,2,58,0,5,34,1,60,6,0,9,69,2,122,467,34,36,0,0,2,49,16,45,999,44,4,2,11,79,44,0,13,1,3,147,0,53,24,3,2,1,4,0,1,27,11,9,20,62,0,13,2,11,17,2,0,18,7,1,0,3,6,0,1,8,94,7,59,63,15,0,129,1,13,0,100,0,0,8,0,0,3,2,1,0,8,1,0,18,12,2,0,1,0,40,0,0,32,0,4,2,1,9,0,2,4,0,0,0,0,2,28,0,0,11,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1,4,6,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCGA-18-4086-01,6079,368,44,81,16,95,65,113,55,7,51,425,1201,26,2,123,71,0,7,12,1188,0,45,208,30,59,28,103,466,15,0,0,116,11,30,113,1,26,23,0,11,3,1,2,71,7,160,349,104,61,4,1,17,92,30,13,7,1,134,15,0,3,56,2,12,16,50,113,6,184,28,17,14,0,3,3,0,60,49,4,253,26,0,5,2,5,5,1,1,407,4,1,0,33,2,4,1,4,6,5,34,8,93,0,1370,39,19,0,13,0,0,2,0,1,0,13,2,1,3,0,0,5,0,47,0,0,5,4,0,8,231,1,0,9,7,3,4,4,4,0,1,4,2,0,28,0,1,6,0,0,2,2,31,5,0,1,0,0,1,0,1,2,2,0,1,3,1,0,1,8,0,0,0,1,3,2,8,1,0,0,1,1,0,0,0,0,0,0,0,7,2,3,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,2
TCGA-18-4721-01,824,291,81,54,7,52,26,59,8,7,46,162,409,8,62,45,12,0,0,10,2944,0,31,73,6,0,4,21,140,14,0,0,27,30,1,1,0,4,8,0,1,4,0,3,16,4,4,17,11,2,23,0,1,7,3,13,8,17,14,0,0,7,42,0,0,10,1,1,1,42,15,7,0,2,0,4,6,13,19,3,21,1,0,2,0,3,5,3,28,119,11,4,0,1,0,2,0,1,1,0,92,5,2,0,97,17,3,0,14,0,0,0,0,1,3,17,0,0,0,0,0,1,0,20,0,0,0,0,0,0,38,0,0,0,0,9,3,0,0,0,0,1,1,0,11,2,2,0,0,0,0,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1
TCGA-18-5592-01,7229,540,171,225,0,1,134,572,48,2,55,483,1028,8,0,279,4,1,95,80,214,0,132,54,19,2,6,13,131,1,1,60,37,9,96,150,0,54,15,1,6,3,2,63,243,5,530,42,25,45,184,3,173,32,13,13,0,0,39,16,2,4,90,0,1,4,6,8,9,12,161,9,1,1,8,0,4,25,10,4,66,50,0,9,6,2,7,15,0,322,56,2,1,118,0,55,1,2,3,4,10,3,23,2,272,2,3,0,0,0,0,3,0,2,6,8,0,0,2,0,2,19,0,7,0,0,2,7,0,0,376,0,1,3,4,3,0,0,24,0,0,0,3,0,13,0,3,1,0,3,15,7,0,0,2,1,0,0,0,1,0,0,9,1,1,0,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
TCGA-18-5595-01,7801,660,618,0,24,0,39,601,1,17,1,1277,1812,214,0,148,3,2,1,76,309,1,87,121,34,2,35,69,192,15,0,0,213,0,10,173,1,69,19,10,18,11,10,9,99,6,233,1439,62,10,0,2,133,15,16,15,70,4,30,2,0,8,53,1,0,3,9,104,1,46,15,3,11,0,8,1,12,54,15,10,22,11,2,8,5,11,1,10,0,1076,4,2,0,22,0,4,0,0,6,12,3,88,273,1,169,4,5,1,4,0,2,3,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,22,0,1,321,5,2,0,17,19,1,0,2,1,0,2,5,0,30,0,9,6,0,2,2,3,12,0,2,2,0,1,1,0,0,1,27,0,29,0,0,0,2,1,7,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,3,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,6
TCGA-21-1075-01,5697,1226,117,139,5,49,208,286,128,6,38,1576,1581,136,31,435,38,2,0,3,3951,0,134,57,31,1,21,33,131,74,0,2,240,0,5,121,4,43,50,2,10,14,1,0,116,10,193,95,35,38,471,0,108,43,9,6,113,0,67,6,426,2,106,4,6,73,0,146,7,16,28,7,8,1,3,24,2,68,5,2,190,25,0,3,10,12,3,49,55,492,12,5,0,14,3,0,0,19,3,4,100,47,54,18,13569,9,10,0,2,0,0,6,0,9,0,301,0,1,0,3,4,4,0,2,0,0,9,28,0,0,143,0,4,0,12,7,8,0,2,2,0,17,0,1,1,0,6,11,23,0,0,0,64,0,0,2,0,2,0,0,2,0,0,0,12,1,1,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,12,0,0,1,44,0,0,0,0,4
