Unnamed: 0,CCNB1,ZWINT,PITX1,PBK,GJB3,KPNA2,HOXC13,LYPD3,ATAD2,HOXA10,GJB2,RHCG,PRKCE,KRT6C,SPRR1B,HECW2,TGFBR2,IL20RB,S100A7,PREX2,SPRR2D,SLC1A1,LIMCH1,LY6D,UTRN,TMEM100,SPRR2A,TSKU,GPD1L,CITED2,PTPRM,SPRR3,SBSN,BNC1,RECK,SLC7A11,PROM2,LRRK2,DSC2,CSTA,PAX3,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,FGFBP1,SERTM1,PRDM16,SELE,TMEM45A,PROK2,GREM2,HOXA9,FABP4,ELAVL2,KRT1
TCGA-18-3406-01,2743,741,1506,693,1559,5999,55,13524,988,124,85305,9613,238,139748,39740,274,2446,4142,85066,115,12358,207,1449,18750,765,126,21172,1571,389,1497,737,1437,5972,1707,446,146,3762,493,28585,4089,7,420,46,11,9,758,548,1323,3948,4436,7,12,500,13808,49,19,1,42275,0,4756
TCGA-18-3407-01,2120,1037,9379,1176,2255,7173,116,16617,1931,174,65402,4644,879,6629,16806,557,2880,1467,7760,233,10869,1407,1695,299,3301,42,26645,8566,740,1698,1170,19542,9706,7813,528,7430,11655,2966,16761,8263,1,1418,177,8,622,384,1182,4542,288,3709,1,159,628,4994,9,32,20,122,8,11
TCGA-18-3408-01,1756,1572,130,1235,512,5162,251,3913,1528,138,3045,168,468,182,558,334,3295,464,237,152,170,132,3140,13,2098,272,216,3482,838,780,469,1353,109,1089,504,10024,3149,2509,6288,6663,6,700,432,5,760,428,398,2876,873,7406,4,45,28,2362,2,35,16,30,2,31
TCGA-18-3410-01,5677,5189,1021,2878,3038,14553,24,12326,5742,261,1938,1152,280,176,344,1012,1864,116,75,118,185,414,588,4106,4182,21,292,5208,746,4876,1692,169,122,94,182,600,6344,567,13108,31216,131,341,438,20,9,2746,307,1843,810,145,0,540,1060,2160,23,8,75,135,2,79
TCGA-18-3411-01,8939,2768,4533,3143,2173,16530,329,3426,3459,385,12905,887,616,634,566,325,2490,210,171,70,182,67,5104,91,2006,12,352,15446,1272,1591,394,1017,169,1394,258,9173,427,298,6411,4395,0,1278,362,1,856,323,530,2969,157,6079,201,20,243,1814,3,4,16,52,1,30
TCGA-18-3412-01,8731,3356,49429,641,4894,19551,119,30313,3916,197,39003,27101,1380,8722,8932,492,1659,936,119,111,1571,1215,631,27033,3248,121,10901,7882,3752,1091,408,41962,7357,1399,306,7005,2668,339,20066,30484,2,958,98,7,197,1015,496,1524,1036,24795,0,33,123,761,12,47,11,32,1,983
TCGA-18-3414-01,3708,3342,3420,2374,2690,11234,305,24441,3917,361,2866,1605,404,2657,14197,950,5638,781,687,131,4912,863,930,4011,1732,38,20261,4355,1749,3223,960,1634,135,2875,313,424,10114,686,4155,15377,93,951,366,13,580,1007,531,5819,1354,3903,0,72,195,6787,128,16,268,13,2,32
TCGA-18-3415-01,4531,1729,6830,1480,589,14353,121,2776,1892,207,9437,19927,730,19207,14570,238,1602,136,1468,66,2000,186,715,448,922,41,7285,10194,732,1133,437,12600,53,3433,406,5185,4805,269,8269,9073,3,297,195,1,412,1248,366,2444,92,2931,78,95,392,1577,16,2,9,44,17,15
TCGA-18-3416-01,4204,5132,3702,1281,1302,16730,31,2214,4188,169,1094,1229,378,212,340,291,2139,51,7,50,75,226,81,21,3121,7,715,4035,852,1690,792,402,24,2100,184,10789,52,367,1402,769,139,289,41,0,473,249,97,3174,437,10379,0,241,47,400,17,0,5,5,1,15
TCGA-18-3417-01,1216,682,17,344,1859,4150,34,485,1211,205,6827,3,149,737,13,138,1498,1687,36,35,3,167,406,4749,522,83,7,2302,393,470,358,8,5,331,243,236,2031,111,1827,2914,2,573,73,2,141,424,654,1232,295,27,0,2,44,3029,4,24,5,6,1,8
